Gene,Name
PN96_RS00040,pssA
PN96_RS00050,murB
PN96_RS00055,birA
PN96_RS00060,coaA
PN96_RS00135,nudC
PN96_RS00140,hemE
PN96_RS00150,ghrA
PN96_RS00175,purD
PN96_RS00180,purH
PN96_RS00265,metH
PN96_RS00270,lysC
PN96_RS00280,iscS
PN96_RS00295,galU
PN96_RS00455,ghrB
PN96_RS00475,ptsO
PN96_RS00485,ptsN
PN96_RS00515,kdsD
PN96_RS00555,murA
PN96_RS00570,pyrI
PN96_RS00575,pyrB
PN96_RS00585,argI
PN96_RS00625,pepA
PN96_RS00810,glsA
PN96_RS00820,rdgB
PN96_RS00840,proC
PN96_RS00875,gshB
PN96_RS00900,metK
PN96_RS00910,tktA
PN96_RS00915,epd
PN96_RS00920,pgk
PN96_RS00925,fbaA
PN96_RS00950,serA
PN96_RS00955,rpiA
PN96_RS00960,ygfA
PN96_RS01015,nadB
PN96_RS01065,pdxJ
PN96_RS01090,relA
PN96_RS01095,mazG
PN96_RS01100,pyrG
PN96_RS01105,eno
PN96_RS01115,ispD
PN96_RS01120,ispF
PN96_RS01130,surE
PN96_RS01155,pncC
PN96_RS01175,thrA
PN96_RS01240,accB
PN96_RS01265,gshA
PN96_RS01275,luxS
PN96_RS01325,coaE
PN96_RS01350,nadC
PN96_RS01365,aceE
PN96_RS01370,aceF
PN96_RS01375,lpdA
PN96_RS01385,hpt
PN96_RS01390,can
PN96_RS01395,dauA
PN96_RS01410,panC
PN96_RS01415,panB
PN96_RS01420,folK
PN96_RS01460,acnB
PN96_RS01465,garK
PN96_RS01470,gntP
PN96_RS01490,amtB
PN96_RS01500,cysW
PN96_RS01505,fbpC
PN96_RS01580,hemL
PN96_RS01645,folP
PN96_RS01650,glmM
PN96_RS01765,nupX
PN96_RS01770,deoC
PN96_RS01780,deoB
PN96_RS01785,deoD
PN96_RS01795,serB
PN96_RS01825,fadK
PN96_RS01970,glpD
PN96_RS01980,glpK
PN96_RS01985,glpF
PN96_RS01990,glpT
PN96_RS02050,argA
PN96_RS02090,panE
PN96_RS02120,ampG
PN96_RS02150,rsxD
PN96_RS02160,rsxE
PN96_RS02165,rsxA
PN96_RS02170,fre
PN96_RS02310,pyrH
PN96_RS02320,ispU
PN96_RS02330,dxr
PN96_RS02350,lpxD
PN96_RS02355,fabZ
PN96_RS02360,lpxA
PN96_RS02365,lpxB
PN96_RS02380,accA
PN96_RS02415,gloB
PN96_RS02440,dauA
PN96_RS02445,fadE
PN96_RS02460,purN
PN96_RS02465,purM
PN96_RS02470,upp
PN96_RS02475,uraA
PN96_RS24125,wrbA
PN96_RS02525,dapA
PN96_RS02545,dapE
PN96_RS02770,ccmA
PN96_RS02775,ccmB
PN96_RS02780,ccmC
PN96_RS02785,ccmD
PN96_RS02850,fadJ
PN96_RS02880,aroC
PN96_RS02915,fabB
PN96_RS02950,pdxB
PN96_RS02955,usg
PN96_RS02970,accD
PN96_RS02975,folC
PN96_RS02990,purF
PN96_RS03010,apt
PN96_RS03030,aqpZ
PN96_RS03075,yeaD
PN96_RS03080,gapA
PN96_RS03100,ansA
PN96_RS03150,metB
PN96_RS03220,asd
PN96_RS03235,adhE
PN96_RS03285,gloA
PN96_RS03295,rsxE
PN96_RS03300,rsxG
PN96_RS03305,rsxD
PN96_RS03310,rsxC
PN96_RS03315,rsxB
PN96_RS03320,rsxA
PN96_RS03410,pta
PN96_RS03415,ackA
PN96_RS03435,fbpC
PN96_RS03465,nhaB
PN96_RS03490,udk
PN96_RS03500,btuR
PN96_RS03510,dauA
PN96_RS03545,fabH
PN96_RS03550,fabD
PN96_RS03555,fabG
PN96_RS03565,fabF
PN96_RS03570,pabC
PN96_RS03580,tmk
PN96_RS03595,malX
PN96_RS03605,ptsG
PN96_RS03630,pykA
PN96_RS03665,cmk
PN96_RS03690,pyrF
PN96_RS03895,metE
PN96_RS03935,gltP
PN96_RS03940,fadD
PN96_RS03950,trpA
PN96_RS03955,trpB
PN96_RS03960,trpC
PN96_RS03965,trpGD
PN96_RS03970,trpGD
PN96_RS03975,trpE
PN96_RS04065,puuE
PN96_RS04115,nrdB
PN96_RS04120,nrdA
PN96_RS04140,ribA
PN96_RS04190,yiaO
PN96_RS04200,yiaN
PN96_RS04220,betT
PN96_RS04245,aspC
PN96_RS04280,sdaA
PN96_RS04285,sdaC
PN96_RS04295,pabB
PN96_RS04300,fumA
PN96_RS04800,adhE
PN96_RS04840,mgsA
PN96_RS04850,yiaY
PN96_RS04860,feaB
PN96_RS05010,yhdW
PN96_RS05015,yhdX
PN96_RS05020,yhdY
PN96_RS05025,yhdZ
PN96_RS05060,puuA
PN96_RS05075,puuC
PN96_RS05080,puuB
PN96_RS05085,ybeM
PN96_RS05095,gabD
PN96_RS05100,puuE
PN96_RS05150,metAS
PN96_RS05160,lpxL
PN96_RS05180,panE
PN96_RS05190,leuE
PN96_RS05210,yaaJ
PN96_RS05215,nfsB
PN96_RS05280,proX
PN96_RS05285,proW
PN96_RS05290,proV
PN96_RS05300,gabT
PN96_RS05310,thrA
PN96_RS05360,zwf
PN96_RS05365,yieK
PN96_RS05370,gnd
PN96_RS05385,aldB
PN96_RS05425,prpB
PN96_RS05430,prpC
PN96_RS05435,acnA
PN96_RS05440,ybhH
PN96_RS05445,prpE
PN96_RS05575,yhdZ
PN96_RS05580,yhdY
PN96_RS05585,yhdX
PN96_RS05590,yhdW
PN96_RS05600,cysG
PN96_RS05610,aroH
PN96_RS05650,msrC
PN96_RS05670,pepN
PN96_RS05685,pyrD
PN96_RS05720,fabA
PN96_RS05840,copA
PN96_RS05880,potA
PN96_RS05885,potB
PN96_RS05890,potC
PN96_RS05895,potD
PN96_RS05910,amtB
PN96_RS05935,fdnI
PN96_RS05940,ynfG
PN96_RS05945,fdhF
PN96_RS05985,atoS
PN96_RS06030,nagK
PN96_RS06090,ribC
PN96_RS06115,betT
PN96_RS06215,tyrP
PN96_RS06240,citT
PN96_RS06285,livF
PN96_RS06290,livG
PN96_RS06295,livM
PN96_RS06300,livH
PN96_RS06305,livK
PN96_RS06335,shiA
PN96_RS06340,mhpE
PN96_RS06345,mhpF
PN96_RS06350,mhpD
PN96_RS06355,mhpC
PN96_RS06360,mhpB
PN96_RS06365,mhpA
PN96_RS06385,allC
PN96_RS06390,iscS
PN96_RS06395,ggt
PN96_RS06405,ybbW
PN96_RS06530,hcaE
PN96_RS06535,hcaF
PN96_RS06540,hcaC
PN96_RS06545,hcaB
PN96_RS06550,hcaD
PN96_RS06560,mqo
PN96_RS06595,rhtB
PN96_RS06615,panF
PN96_RS06760,sspA
PN96_RS06900,astE
PN96_RS06910,gpmB
PN96_RS06915,cobU
PN96_RS06920,cobS
PN96_RS06925,cobT
PN96_RS06940,tcyP
PN96_RS07205,cdd
PN96_RS07245,kdgK
PN96_RS07310,speB
PN96_RS07395,maeA
PN96_RS07405,citT
PN96_RS07425,trxB
PN96_RS07430,cydD
PN96_RS07435,cydC
PN96_RS07440,dsdA
PN96_RS07445,serC
PN96_RS07490,gadA
PN96_RS07510,ybjL
PN96_RS07530,nhaA
PN96_RS07630,ushA
PN96_RS07710,metC
PN96_RS07800,torA
PN96_RS07820,focA
PN96_RS07840,tdk
PN96_RS07855,lpxH
PN96_RS07870,hisI
PN96_RS07875,hisF
PN96_RS07880,hisA
PN96_RS07885,hisH
PN96_RS07890,hisB
PN96_RS07895,hisC
PN96_RS07900,hisD
PN96_RS07905,hisG
PN96_RS07930,gsk
PN96_RS07950,purB
PN96_RS08000,bioD
PN96_RS08005,bioC
PN96_RS08010,bioF
PN96_RS08015,bioB
PN96_RS08020,bioA
PN96_RS08050,pntA
PN96_RS08105,fabD
PN96_RS08220,nadA
PN96_RS08265,cydX
PN96_RS08270,cydB
PN96_RS08275,cydA
PN96_RS08405,glgA
PN96_RS08410,glgC
PN96_RS08425,aroA
PN96_RS08530,hisM
PN96_RS08535,hisQ
PN96_RS08540,argT
PN96_RS08545,hisP
PN96_RS08560,pflB
PN96_RS08570,pflA
PN96_RS08600,kdsB
PN96_RS08610,lpxK
PN96_RS08665,ndh
PN96_RS08755,potI
PN96_RS08760,potH
PN96_RS08765,potG
PN96_RS08770,potF
PN96_RS08775,patA
PN96_RS08780,puuA
PN96_RS08785,puuA
PN96_RS08790,puuB
PN96_RS08935,cysM
PN96_RS09030,menF
PN96_RS09035,alaA
PN96_RS09045,dgt
PN96_RS09100,atoS
PN96_RS09115,yiaN
PN96_RS09120,yiaM
PN96_RS09125,yiaO
PN96_RS09135,ycjP
PN96_RS09140,ugpA
PN96_RS09220,entC
PN96_RS09240,folD
PN96_RS09245,nupX
PN96_RS09285,fadD
