locustag,proteinaccession
PN96_RS15185,WP_014234865.1
PN96_RS24000,WP_155521827.1
PN96_RS15195,WP_020335423.1
PN96_RS15200,WP_014234868.1
PN96_RS15205,WP_020335424.1
PN96_RS15210,WP_020335425.1
PN96_RS15215,WP_020335426.1
PN96_RS15220,WP_020335427.1
PN96_RS15225,WP_020335428.1
PN96_RS15230,WP_020335429.1
PN96_RS15235,WP_020335430.1
PN96_RS15240,WP_020335431.1
PN96_RS15245,WP_020335433.1
PN96_RS15250,WP_020335434.1
PN96_RS15255,WP_020335435.1
PN96_RS15260,WP_020335436.1
PN96_RS15265,WP_020335437.1
PN96_RS15270,WP_024372859.1
PN96_RS15275,WP_020335439.1
PN96_RS15280,WP_014234884.1
PN96_RS15285,WP_014234885.1
PN96_RS15290,WP_236614671.1
PN96_RS15295,WP_020335441.1
PN96_RS15300,WP_020335442.1
PN96_RS15305,WP_031779249.1
PN96_RS15310,WP_014234890.1
PN96_RS15315,WP_020335444.1
PN96_RS15320,WP_020335445.1
PN96_RS15325,WP_020335447.1
PN96_RS15330,WP_020335449.1
PN96_RS15335,WP_020335450.1
PN96_RS15340,WP_020335451.1
PN96_RS15345,WP_020335452.1
PN96_RS15350,WP_020335453.1
PN96_RS15355,WP_020335454.1
PN96_RS15360,WP_029791437.1
PN96_RS15365,WP_020335456.1
PN96_RS15370,WP_014234902.1
PN96_RS15375,WP_020335457.1
PN96_RS15380,WP_020335458.1
PN96_RS15385,WP_020335459.1
PN96_RS15390,WP_020335460.1
PN96_RS15395,WP_076633444.1
PN96_RS15400,WP_020333412.1
PN96_RS15405,WP_014234909.1
PN96_RS15410,WP_014234910.1
PN96_RS15415,WP_014234911.1
PN96_RS15420,WP_014234912.1
PN96_RS15425,WP_020333415.1
PN96_RS15430,WP_014234914.1
PN96_RS15435,WP_014234915.1
PN96_RS15440,WP_024372651.1
PN96_RS15445,WP_020333417.1
PN96_RS15450,WP_020333418.1
PN96_RS15455,WP_020333419.1
PN96_RS15460,WP_014234920.1
PN96_RS15465,WP_014234921.1
PN96_RS15470,WP_020333420.1
PN96_RS15475,WP_020333421.1
PN96_RS15480,WP_014234924.1
PN96_RS15485,WP_020333422.1
