Isozyme,Gene,Stoichiometry,Confidence,Reaction,ProteinAccession
1,PN9607680,6,1,R00004,WP_014231511.1
2,PN9611750,6,1,R00004,WP_014230697.1
1,PN9620635,3,1,R00005,WP_020334891.1
1,PN9620630,3,1,R00005,WP_020334890.1
2,PN9620635,3,1,R00005,WP_020334891.1
2,PN9623175,1,1,R00005,WP_020335393.1
3,PN9620630,3,1,R00005,WP_020334890.1
3,PN9620635,3,1,R00005,WP_020334891.1
4,PN9623175,1,1,R00005,WP_020335393.1
4,PN9620635,3,1,R00005,WP_020334891.1
1,PN9603390,1,1,R00028,WP_020335659.1
1,PN9612840,8,1,R00036,WP_031779279.1
1,PN9621190,1,0,R00048,WP_236614677.1
1,PN9606000,3,1,R00066,WP_020333251.1
2,PN9610110,3,1,R00066,WP_020333699.1
1,PN9613865,1,1,R00084,WP_020334065.1
1,PN9613870,1,1,R00089,WP_020334064.1
1,PN9610255,6,0,R00104,WP_014230981.1
1,PN9614060,8,1,R00112,WP_014233300.1
2,PN9620535,1,1,R00112,WP_020334871.1
2,PN9620540,1,1,R00112,WP_014234219.1
1,PN9611095,2,1,R00114,WP_020335903.1
1,PN9611100,2,1,R00114,WP_014230823.1
2,PN9611105,2,1,R00114,WP_020335901.1
2,PN9611110,2,1,R00114,WP_014230821.1
3,PN9611095,2,1,R00114,WP_020335903.1
3,PN9619960,2,1,R00114,WP_020334779.1
4,PN9611105,2,1,R00114,WP_020335901.1
4,PN9602395,2,1,R00114,WP_020335127.1
1,PN9613050,2,1,R00115,WP_020336250.1
1,PN9611650,1,1,R00125,WP_014230715.1
1,PN9609400,1,1,R00127,WP_014231127.1
1,PN9601295,1,1,R00130,WP_020333951.1
1,PN9606185,1,1,R00131,WP_014231742.1
1,PN9606180,1,1,R00131,WP_014231743.1
1,PN9606175,1,1,R00131,WP_020333226.1
1,PN9606170,1,1,R00131,WP_020333227.1
1,PN9606165,1,1,R00131,WP_020333228.1
1,PN9606160,1,1,R00131,WP_014231747.1
1,PN9623060,4,1,R00137,WP_014234741.1
1,PN9607575,1,1,R00143,WP_020332976.1
1,PN9601070,4,1,R00149,WP_020333971.1
1,PN9621810,2,1,R00150,WP_020336084.1
1,PN9610485,4,1,R00156,WP_014230937.1
1,PN9612560,2,0,R00158,WP_014230561.1
2,PN9602270,6,1,R00158,WP_005494271.1
1,PN9610880,1,1,R00161,WP_020335928.1
1,PN9615645,2,1,R00174,WP_020333481.1
2,PN9621920,2,1,R00174,WP_020335174.1
1,PN9600880,4,1,R00177,WP_014233023.1
1,PN9607525,1,1,R00183,WP_020332984.1
2,PN9609695,1,1,R00183,WP_020333325.1
3,PN9620755,1,1,R00183,WP_020334911.1
1,PN9612645,1,1,R00188,WP_020335696.1
1,PN9618815,1,1,R00189,WP_020333748.1
2,PN9623065,2,1,R00189,WP_020335374.1
1,PN9602960,2,1,R00190,WP_020334560.1
1,PN9611345,1,1,R00191,WP_014230774.1
1,PN9611120,2,1,R00194,WP_014230819.1
1,PN9615345,4,1,R00196,WP_014234939.1
1,PN9616785,4,1,R00197,WP_020334627.1
2,PN9620240,2,1,R00197,WP_020334824.1
1,PN9617465,2,1,R00199,WP_020334436.1
1,PN9603585,4,1,R00200,WP_020335623.1
2,PN9611555,4,1,R00200,WP_014230734.1
1,PN9601340,1,1,R00209,WP_020333942.1
1,PN9601345,1,1,R00209,WP_014232944.1
1,PN9601335,1,1,R00209,WP_014232946.1
1,PN9608455,2,1,R00212,WP_020332855.1
1,PN9608465,1,1,R00212,WP_014231297.1
1,PN9607295,4,1,R00214,WP_014231589.1
1,PN9614755,4,0,R00216,WP_014233167.1
1,PN9604230,2,1,R00220,WP_014232352.1
2,PN9617145,2,1,R00220,WP_014233589.1
3,PN9622155,2,1,R00220,WP_020335220.1
1,PN9607340,1,1,R00221,WP_020333012.1
1,PN9608810,4,1,R00227,WP_020332800.1
1,PN9603185,2,1,R00228,WP_014232554.1
2,PN9604715,2,1,R00228,WP_014232090.1
1,PN9603360,6,1,R00230,WP_014232520.1
2,PN9622000,6,1,R00230,WP_020335188.1
1,PN9621465,4,1,R00238,WP_020336014.1
2,PN9602800,4,1,R00238,WP_020334580.1
3,PN9619050,4,1,R00238,WP_020333785.1
4,PN9613245,4,1,R00238,WP_020333587.1
5,PN9618050,4,1,R00238,WP_031779209.1
6,PN9618315,4,1,R00238,WP_020334202.1
1,PN9610130,4,1,R00239,WP_014231006.1
1,PN9605600,6,1,R00243,WP_014231888.1
1,PN9616180,2,1,R00245,WP_020335027.1
2,PN9619485,2,1,R00245,WP_024372956.1
1,PN9612760,12,1,R00253,WP_014230521.1
1,PN9618815,2,1,R00256,WP_020333748.1
2,PN9600795,2,1,R00256,WP_014233039.1
1,PN9618815,6,1,R00257,WP_020333748.1
1,PN9602020,6,1,R00259,WP_014232813.1
1,PN9614090,1,1,R00260,WP_014233294.1
1,PN9607390,2,0,R00261,WP_020333004.1
1,PN9608360,2,1,R00267,WP_014231318.1
1,PN9619245,2,1,R00271,WP_020333817.1
1,PN9603200,2,1,R00275,WP_014232551.1
1,PN9616200,2,1,R00277,WP_014235106.1
1,PN9616200,2,1,R00278,WP_014235106.1
1,PN9612185,1,0,R00286,WP_020335767.1
1,PN9600290,4,1,R00289,WP_014233119.1
2,PN9612260,4,1,R00289,WP_020335752.1
1,PN9615935,2,1,R00291,WP_020333532.1
2,PN9620615,2,1,R00291,WP_020334887.1
3,PN9622140,2,1,R00291,WP_024372884.1
1,PN9622390,1,1,R00299,WP_020335259.1
1,PN9609395,1,0,R00310,WP_020333364.1
1,PN9603365,2,1,R00315,WP_014232519.1
2,PN9621510,2,1,R00315,WP_020336024.1
1,PN9610485,4,1,R00330,WP_014230937.1
1,PN9612560,2,1,R00332,WP_014230561.1
1,PN9612570,1,0,R00336,WP_014230559.1
