Reaction	Isozyme	Gene	Stoichiometry	Confidence
R_rxn05359_c	1	PN9603495	2	1
R_rxn05359_c	2	PN9603515	2	1
R_rxn05359_c	3	PN9620380	2	1
R_rxn05359_c	4	PN9603515	2	1
R_rxn00225_c	1	PN9603365	2	1
R_rxn00225_c	2	PN9621510	2	1
R_rxn01332_c	1	PN9605535	4	1
R_rxn01332_c	2	PN9610815	4	1
R_rxn01332_c	3	PN9618150	4	1
R_rxn05154_c	1	PN9618975	1	1
R_rxn05154_c	2	PN9621305	1	1
R_rxn05154_c	3	PN9621310	1	1
R_rxn05154_c	4	PN9621320	1	1
R_rxn02811_c	1	PN9611605	1	1
R_rxn02811_c	1	PN9611610	1	1
R_rxn00274_c	1	PN9615385	2	1
R_rxn05350_c	1	PN9602865	2	1
R_rxn05350_c	2	PN9603495	2	1
R_rxn05350_c	3	PN9620380	2	1
R_rxn05350_c	4	PN9603515	2	1
R_rxn00790_c	1	PN9602935	2	1
R_rxn00790_c	1	PN9603920	2	1
R_rxn00796_c	1	PN9607910	2	1
R_rxn01368_c	1	PN9607105	2	1
R_rxn00473_c	1	PN9615750	4	1
R_rxn01859_c	1	PN9601755	6	1
R_rxn01859_c	2	PN9615250	6	1
R_rxn02345_c	1	PN9602805	2	1
R_rxn02345_c	1	PN9602800	2	1
R_rxn02345_c	2	PN9613240	2	1
R_rxn02345_c	2	PN9613245	2	1
R_rxn00838_c	1	PN9614575	2	1
R_rxn00838_c	2	PN9617475	2	1
R_rxn08527_c	1	PN9614370	1	1
R_rxn08527_c	1	PN9614375	1	1
R_rxn08527_c	1	PN9614380	1	1
R_rxn08527_c	1	PN9614385	1	1
R_rxn00299_c	1	PN9618205	10	1
R_rxn05040_c	1	PN9617870	2	1
R_rxn05040_c	2	PN9610105	1	1
R_rxn02508_c	1	PN9603915	1	1
R_rxn03080_c	1	PN9610100	60	1
R_rxn02898_c	1	PN9608900	6	1
R_rxn00100_c	1	PN9601295	1	1
R_rxn01642_c	1	PN9607205	2	1
R_rxn00138_c	1	PN9618815	1	1
R_rxn00138_c	2	PN9623065	2	1
R_rxn00412_c	1	PN9601070	4	1
R_rxn00422_c	1	PN9606300	2	1
R_rxn00837_c	1	PN9618240	4	1
R_rxn00140_c	1	PN9611345	1	1
R_rxn04413_c	1	PN9606820	2	1
R_rxn05236_c	1	PN9620455	2	1
R_rxn05236_c	1	PN9620460	2	1
R_rxn05602_c	1	PN9615340	6	1
R_rxn06443_c	1	PN9603430	1	1
R_rxn02914_c	1	PN9607345	2	1
R_rxn00122_c	1	PN9610880	1	1
R_rxn00137_c	1	PN9612645	1	1
R_rxn01639_c	1	PN9607210	2	1
R_rxn05235_c	1	PN9620455	2	1
R_rxn05235_c	1	PN9620460	2	1
R_rxn08433_c	1	PN9616510	4	1
R_rxn01396_c	1	PN9615645	2	1
R_rxn01396_c	2	PN9621920	2	1
R_rxn06729_c	1	PN9602320	3	1
R_rxn00931_c	1	PN9600825	10	1
R_rxn05451_c	1	PN9603500	2	1
R_rxn02213_c	1	PN9614205	12	1
R_rxn02213_c	2	PN9618515	12	1
R_rxn10206_c	1	PN9614040	1	1
R_rxn00772_c	1	PN9619705	2	1
R_rxn02175_c	1	PN9612420	6	1
R_rxn10147_c	1	PN9614080	1	1
R_rxn01621_c	1	PN9610335	4	1
R_rxn05059_c	1	PN9607105	2	1
R_rxn00834_c	1	PN9610430	4	1
R_rxn00601_c	1	PN9614625	1	1
R_rxn08086_c	1	PN9600555	2	1
R_rxn09320_c	1	PN9602430	2	1
R_rxn00917_c	1	PN9610425	2	1
R_rxn00420_c	1	PN9601765	2	1
R_rxn00908_c	1	PN9602420	2	1
R_rxn08971_c	1	PN9608560	1	1
R_rxn02402_c	1	PN9601320	6	1
R_rxn00912_c	1	PN9601385	10	1
R_rxn02866_c	1	PN9619040	4	1
R_rxn02866_c	2	PN9621475	4	1
R_rxn01977_c	1	PN9614920	2	1
R_rxn00379_c	1	PN9611820	1	1
R_rxn00379_c	1	PN9611825	1	1
R_rxn00379_c	2	PN9612310	1	1
R_rxn00379_c	2	PN9612325	1	1
R_rxn06076_c	1	PN9604065	1	1
R_rxn06076_c	1	PN9604070	1	1
R_rxn01486_c	1	PN9611685	1	1
R_rxn01507_c	1	PN9607525	1	1
R_rxn01507_c	2	PN9609695	1	1
R_rxn00438_c	1	PN9610090	2	1
R_rxn02155_c	1	PN9623060	1	1
R_rxn03910_c	1	PN9601090	3	1
R_rxn02201_c	1	PN9601615	1	1
R_rxn09562_c	1	PN9612560	2	1
R_rxn01011_c	1	PN9600450	2	1
R_rxn09197_c	1	PN9614450	2	0
R_rxn02186_c	1	PN9613170	4	1
R_rxn00433_c	1	PN9622165	1	1
R_rxn00433_c	1	PN9622170	1	1
R_rxn00433_c	1	PN9622175	1	1
R_rxn00433_c	1	PN9622180	1	1
R_rxn01106_c	1	PN9614435	1	1
R_rxn08094_c	1	PN9609280	1	0
R_rxn40037_c	1	PN9602485	4	1
R_rxn01484_c	1	PN9609365	4	1
R_rxn27735_c	1	PN9618045	4	1
R_rxn01643_c	1	PN9602900	2	1
R_rxn01643_c	2	PN9603170	2	1
R_rxn08352_c	1	PN9610860	2	1
R_rxn00336_c	1	PN9610580	4	1
R_rxn01603_c	1	PN9602920	1	1
R_rxn10263_c	1	PN9603990	1	1
R_rxn00692_c	1	PN9609955	2	1
R_rxn00692_c	2	PN9620950	2	1
R_rxn00692_c	3	PN9622185	2	1
R_rxn00727_c	1	PN9603925	2	1
R_rxn00727_c	1	PN9603930	2	1
R_rxn02969_c	1	PN9618345	2	1
R_rxn00105_c	1	PN9623060	4	1
R_rxn10254_c	1	PN9612395	1	1
R_rxn10254_c	2	PN9617840	1	1
