rhea,name
32459,S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase
17737,shikimate:NADP+ 3-oxidoreductase
18457,"D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)"
15889,L-glutamine amidohydrolase
27846,"(2E)-3-(3-hydroxyphenyl)prop-2-enoate,NADH:oxygen oxidoreductase (2-hydroxylating)"
18049,N2-acetyl-L-ornithine:2-oxoglutarate aminotransferase
11600,ATP:CMP phosphotransferase
17417,ATP:N-acetyl-D-glucosamine 6-phosphotransferase
10508,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehydetransferase
31255,(S)-2-acetolactate methylmutase
10164,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)
27690,ATP:dGDP phosphotransferase
28438,tetradecanoyl-[acyl-carrier protein]:dodecanoyl-KDO2-lipid IV(A) O-tetradecanoyltransferase
18629,ATP:NAD+ 2'-phosphotransferase
13233,guanosine:phosphate alpha-D-ribosyltransferase
10488,5-formyltetrahydrofolate cyclo-ligase (ADP-forming)
21896,adenosylcobyric acid:(R)-1-aminopropan-2-yl phosphate ligase
10224,ATP:pyridoxal 5'-phosphotransferase
13801,hydrogen-sulfide:NADP+ oxidoreductase
18445,"IMP 1,2-hydrolase (decyclizing)"
17601,ATP:D-ribulose 5-phosphotransferase
10116,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)
16189,"4-hydroxyphenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)"
35587,riboflavin-5-phosphate phosphohydrolase
24152,ATP:adenylylsulfate 3'-phosphotransferase
13701,acetyl-CoA:L-homoserine O-acetyltransferase
11412,"ATP:6-hydroxymethyl-7,8-dihydropterin 6'-diphosphotransferase"
23288,acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)
27642,nicotinate D-ribonucleoside:orthophosphate ribosyltransferase
20956,phenylacetate:CoA ligase
54868,butyryl-[acp]:NAD+ trans-2-oxidoreductase
46012,(S)-malate:FAD oxidoreductase
11612,L-glutamate:NADP+ oxidoreductase (deaminating)
20700,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine:2,3-bis-(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl-1-phosphate 2,3-bis(3-hydroxytetradecanoyl)-glucosaminyltransferase"
41844,(3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase
27894,cytidine 3'-phosphate phosphohydrolase
17921,D-arabinitol:NAD 4-oxidoreductase
31747,"3-oxo-5,6-dehydrosuberyl-CoA semialdehyde:NADP+ oxidoreductase"
30707,putrescine:pyruvate aminotransferase
25245,(R)-S-lactoylglutathione hydrolase
10152,ATP:carbamate phosphotransferase
64820,2-phenylacetamide amidohydrolase
15901,"D-phosphoglycerate 2,3-phosphomutase"
13237,L-glutamine:D-fructose-6-phosphate isomerase (deaminating)
24360,S-adenosyl-L-methionine:uroporphyrin-III C-methyltransferase
23032,2-(formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)
30295,GTP:pyruvate 2-O-phosphotransferase
28442,dodecanoyl-[acyl-carrier protein]:KDO2-lipid-IVA O-dodecanoyltransferase
11308,acetyl-CoA:carbon-dioxide ligase (ADP-forming)
23476,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing)
18229,glycolate:NAD+ oxidoreductase
41868,decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)
25249,pyruvate:2-oxobutanoate acetaldehydetransferase (decarboxylating)
72067,L-glutamate:2-aminobutanoate gamma-ligase (ADP-forming)
27650,GTP:uridine 5'-phosphotransferase
13433,deoxycytidine aminohydrolase
11816,beta-D-glucose 6-phosphate ketol-isomerase
17129,5'-phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)
41876,(3R)-3-hydroxydodecanoyl-[acyl-carrier-protein] hydro-lyase
31179,(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase
