Rhea,Database,Xref
14277,bigg,LCADi
14277,bigg,LCADm
14277,bigg,R_LCADi
14277,bigg,R_LCADm
15469,bigg,PRICIh
15469,bigg,PRMICI
15469,bigg,R_PRICIh
15469,bigg,R_PRMICI
31039,bigg,ACOAD5f
31039,bigg,ACOA120OR
30655,bigg,URIDK2r
30655,bigg,URIDK2rn
30655,bigg,URIDK2m
30655,bigg,R_URIDK2m
30655,bigg,R_URIDK2r
30655,bigg,R_URIDK2rn
11040,bigg,IGPDH
11040,bigg,IGPDh
11040,bigg,IGPDH_1
11040,bigg,R_IGPDH
11040,bigg,R_IGPDH_1
11040,bigg,R_IGPDh
20129,bigg,AMPN
20129,bigg,R_AMPN
18405,bigg,ALAD_L
18405,bigg,ALAD_L2
18405,bigg,R_ALAD_L
18405,bigg,R_ALAD_L2
22912,bigg,VPAMTr
22912,bigg,R_VPAMTr
14089,bigg,GLYTA_1
14089,bigg,GLYTA
14089,bigg,R_GLYTA
14089,bigg,R_GLYTA_1
23448,bigg,KDOCT2
17737,bigg,SHK3Dr
17737,bigg,SKDH
17737,bigg,R_SHK3Dr
17737,bigg,R_SKDH
27862,bigg,3NTD9pp
27862,bigg,3NUCLE4
27862,bigg,R_3NTD9pp
27862,bigg,R_3NUCLE4
23476,bigg,IGPS
23476,bigg,IGPS_1
23476,bigg,R_IGPS
23476,bigg,R_IGPS_1
19069,bigg,LGTHL
19069,bigg,GLYOX_1
19069,bigg,GLYCS_I
19069,bigg,LGTHLc
19069,bigg,R_GLYCS_I
19069,bigg,R_GLYOX_1
19069,bigg,R_LGTHL
19069,bigg,R_LGTHLc
18629,bigg,NADK
18629,bigg,NADKm
18629,bigg,NADK_1
18629,bigg,NADK_h
18629,bigg,R_NADK
18629,bigg,R_NADK_1
18629,bigg,R_NADK_h
18629,bigg,R_NADKm
14465,bigg,HPh
14465,bigg,HISTP
14465,bigg,HP
14465,bigg,HISTP_1
14465,bigg,R_HISTP
14465,bigg,R_HISTP_1
14465,bigg,R_HP
14465,bigg,R_HPh
11096,bigg,G3PD2_1
11096,bigg,G3PD2
11096,bigg,R_G3PD2
11096,bigg,R_G3PD2_1
19397,bigg,PPNCL2
19397,bigg,PPNCL2_1
19397,bigg,PPNCL_m
19397,bigg,R_PPNCL2
19397,bigg,R_PPNCL2_1
19397,bigg,R_PPNCL_m
23704,bigg,GTPCII2
23704,bigg,GTPCII
23704,bigg,GTPCII_1
23704,bigg,GTPCII_h
23704,bigg,GTPDH
23704,bigg,R_GTPCII
23704,bigg,R_GTPCII2
23704,bigg,R_GTPCII_1
23704,bigg,R_GTPCII_h
23704,bigg,R_GTPDH
12556,bigg,PGL
12556,bigg,PGLh
12556,bigg,PGLer
12556,bigg,PGLc
12556,bigg,PGLg
12556,bigg,R_PGL
12556,bigg,R_PGLc
12556,bigg,R_PGLer
12556,bigg,R_PGLg
12556,bigg,R_PGLh
28582,bigg,NDPK6
28582,bigg,NDPK6n
28582,bigg,NDPK6m
28582,bigg,R_NDPK6
28582,bigg,R_NDPK6m
28582,bigg,R_NDPK6n
30783,bigg,r0393
30783,bigg,GLYALDDr
30783,bigg,R_GLYALDDr
30783,bigg,R_r0393
21708,bigg,AHCi
21708,bigg,ADSHm
21708,bigg,R_ADSHm
21708,bigg,R_AHCi
27638,bigg,PUNP7
27638,bigg,PUNP7_1
27638,bigg,R_PUNP7
27638,bigg,R_PUNP7_1
11224,bigg,ALAALAr
11224,bigg,R_ALAALAr
11196,bigg,NNDMBRT
11196,bigg,R_NNDMBRT
14717,bigg,DDPA
14717,bigg,DDPAm
14717,bigg,DPHS
14717,bigg,DDPA_1
14717,bigg,R_DDPA
14717,bigg,R_DDPA_1
14717,bigg,R_DDPAm
14717,bigg,R_DPHS
14817,bigg,MAAIn
14817,bigg,MACACI
14817,bigg,R_MAAIn
14817,bigg,R_MACACI
10676,bigg,IPPMIa
10676,bigg,IMPHL_2_h
10676,bigg,R_IMPHL_2_h
10676,bigg,R_IPPMIa
23744,bigg,HSTPT
23744,bigg,HSTPTr
23744,bigg,AOOAh
23744,bigg,R_AOOAh
23744,bigg,R_HSTPT
23744,bigg,R_HSTPTr
10892,bigg,IPMD
10892,bigg,IMPDH_h
10892,bigg,R_IMPDH_h
10892,bigg,R_IPMD
13073,bigg,GDTP
13073,bigg,GTPDPDP
13073,bigg,R_GDTP
13073,bigg,R_GTPDPDP
29355,bigg,NTD1m
29355,bigg,NTD1
29355,bigg,NTD1pp
29355,bigg,NTD1_1
29355,bigg,R_NTD1
29355,bigg,R_NTD1_1
29355,bigg,R_NTD1m
29355,bigg,R_NTD1pp
12460,bigg,FUM
12460,bigg,FUMm
12460,bigg,FUMg
12460,bigg,R_FUM
12460,bigg,R_FUMg
12460,bigg,R_FUMm
31171,bigg,ECOAH6
31171,bigg,ECOAH6p
31171,bigg,ECOAH6m
31171,bigg,R_ECOAH6
31171,bigg,R_ECOAH6m
31171,bigg,R_ECOAH6p
31171,bigg,R_r0720
31171,bigg,R_r0720_1
31171,bigg,R_r0721
31171,bigg,r0720
31171,bigg,r0720_1
31171,bigg,r0721
11080,bigg,NTD5
11080,bigg,NTD5m
11080,bigg,NTD5pp
11080,bigg,NTD5l
11080,bigg,R_NTD5
11080,bigg,R_NTD5l
11080,bigg,R_NTD5m
11080,bigg,R_NTD5pp
22584,bigg,FCLT
22584,bigg,FCLTm
22584,bigg,FCLT_1
22584,bigg,FCLT_2
22584,bigg,FCLT_h
22584,bigg,R_FCLT
22584,bigg,R_FCLT_1
22584,bigg,R_FCLT_2
22584,bigg,R_FCLT_h
22584,bigg,R_FCLTm
29371,bigg,NTD6
29371,bigg,NTD6pp
29371,bigg,NTD6l
29371,bigg,R_NTD6
29371,bigg,R_NTD6l
29371,bigg,R_NTD6pp
31143,bigg,HACD2i
31143,bigg,HACD2_1
31143,bigg,HACD2
31143,bigg,HACD2m
31143,bigg,HMR_3100
31143,bigg,R_HACD2
31143,bigg,R_HACD2_1
31143,bigg,R_HACD2i
31143,bigg,R_HACD2m
31143,bigg,R_HMR_3100
31143,bigg,R_r0733
31143,bigg,r0733
21620,bigg,FMNRx
25277,bigg,PDE1
25277,bigg,PDE1g
25277,bigg,APNn
25277,bigg,R_APNn
25277,bigg,R_PDE1
25277,bigg,R_PDE1g
14797,bigg,DDGLK
14797,bigg,R_DDGLK
21036,bigg,ACACT1x
21036,bigg,ACACT1r
21036,bigg,KAT1
21036,bigg,ACACT1m
21036,bigg,R_ACACT1m
21036,bigg,R_ACACT1r
21036,bigg,R_ACACT1x
21036,bigg,R_KAT1
28062,bigg,MOAT2
21020,bigg,CHRS
21020,bigg,CHORS
21020,bigg,CHORS_1
21020,bigg,R_CHORS
21020,bigg,R_CHORS_1
21020,bigg,R_CHRS
13989,bigg,UGLT
13121,bigg,SKK
13121,bigg,SHKK
13121,bigg,R_SHKK
13121,bigg,R_SHKK_1
13121,bigg,R_SKK
13121,bigg,SHKK_1
25237,bigg,NDPK3
25237,bigg,NDPK3n
25237,bigg,NDPK3m
25237,bigg,R_NDPK3
25237,bigg,R_NDPK3m
25237,bigg,R_NDPK3n
27718,bigg,NTD11pp
27718,bigg,NTD11
27718,bigg,R_NTD11
27718,bigg,R_NTD11pp
14545,bigg,NNAM
14545,bigg,NNAMrm
14545,bigg,R_NNAM
14545,bigg,R_NNAMrm
11596,bigg,OMPDC
11596,bigg,R_OMPDC
24296,bigg,DHORTSn
24296,bigg,DHR
24296,bigg,DHORTS
24296,bigg,DHR_1
24296,bigg,R_DHORTS
24296,bigg,R_DHORTSn
24296,bigg,R_DHR
24296,bigg,R_DHR_1
31103,bigg,FOLR2_1
31103,bigg,FOLR2
31103,bigg,r0514
31103,bigg,R_FOLR2
31103,bigg,R_FOLR2_1
31103,bigg,R_r0514
28206,bigg,DURIK1
28206,bigg,DURIK1m
28206,bigg,DURIK1_1
28206,bigg,R_DURIK1
28206,bigg,R_DURIK1_1
28206,bigg,R_DURIK1m
16825,bigg,URIK1
16825,bigg,R_URIK1
16825,bigg,R_URIK1_1
16825,bigg,URIK1_1
30295,bigg,GTPOPm
30295,bigg,PYK3
30295,bigg,R_GTPOPm
30295,bigg,R_PYK3
12813,bigg,GLUR
12813,bigg,R_GLUR
18049,bigg,ACOTA
18049,bigg,ACOTAim
18049,bigg,ACOAT_h
18049,bigg,R_ACOAT_h
18049,bigg,R_ACOTA
18049,bigg,R_ACOTAim
15185,bigg,AST
15185,bigg,R_AST
21524,bigg,IPPS
21524,bigg,IPPSm
21524,bigg,IPPSh
21524,bigg,R_IPPS
