rhea,rheaDir,metacyc
10004,10004,METACYC:THIOCYANATE-ISOMERASE-RXN
10060,10060,METACYC:D-TRYPTOPHAN-N-ACETYLTRANSFERASE-RXN
10064,10064,METACYC:D-ALANINE-HYDROXYMETHYLTRANSFERASE-RXN
10148,10148,METACYC:BLASTICIDIN-S-DEAMINASE-RXN
10180,10180,METACYC:FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN
10204,10204,METACYC:1.5.8.1-RXN
10232,10232,METACYC:2.4.2.20-RXN
10324,10324,METACYC:L-GLYCOL-DEHYDROGENASE-RXN
10328,10328,METACYC:L-GLYCOL-DEHYDROGENASE-RXN
10332,10332,METACYC:2.3.1.62-RXN
10356,10356,METACYC:1.1.1.152-RXN
10364,10364,METACYC:DECYLHOMOCITRATE-SYNTHASE-RXN
10460,10460,METACYC:PROSTAGLANDIN-A1-DELTA-ISOMERASE-RXN
10516,10516,METACYC:1.1.1.166-RXN
10628,10628,METACYC:TRNA-NUCLEOTIDYLTRANSFERASE-RXN
10660,10660,METACYC:5.1.1.16-RXN
10820,10820,METACYC:ISOCITRATE-EPIMERASE-RXN
10884,10884,METACYC:FUCOSTEROL-EPOXIDE-LYASE-RXN
10952,10952,METACYC:2.3.1.106-RXN
10972,10972,METACYC:2.7.1.62-RXN
11012,11012,METACYC:TRYPTOPHANAMIDASE-RXN
11024,11024,METACYC:AMMONIA-KINASE-RXN
11088,11088,METACYC:TRIMETAPHOSPHATASE-RXN
11100,11100,METACYC:PROPIOIN-SYNTHASE-RXN
11156,11156,METACYC:VALINE-DEHYDROGENASE-NADP%252b-RXN
11252,11252,METACYC:ASPARTYLTRANSFERASE-RXN
11272,11272,METACYC:RXN-14931
11284,11284,METACYC:HYDROXYMALONATE-DEHYDROGENASE-RXN
11384,11384,METACYC:1.1.1.99-RXN
11408,11408,METACYC:RIBOFLAVINASE-RXN
11448,11448,METACYC:1.1.1.150-RXN
11464,11464,METACYC:1.8.4.1-RXN
11524,11524,METACYC:CHOLESTENONE-5-BETA-REDUCTASE-RXN
11568,11568,METACYC:DEOXYCYTIDYLATE-C-METHYLTRANSFERASE-RXN
11624,11624,METACYC:OXIMINOTRANSFERASE-RXN
11676,11676,METACYC:RIBOSE-1-DEHYDROGENASE-NADP%252b-RXN
11804,11804,METACYC:ARYL-ALDEHYDE-DEHYDROGENASE-RXN
16185,16185,METACYC:ALDEHYDE-DEHYDROGENASE-NADORNOP%252b-RXN
11888,11888,METACYC:ALDEHYDE-DEHYDROGENASE-NADORNOP%252b-RXN
12028,12028,METACYC:CARBOXYMETHYLHYDANTOINASE-RXN
12092,12092,METACYC:ACETOIN-RACEMASE-RXN
12328,12328,METACYC:RXN-15697
12396,12396,METACYC:DTDP-GALACTOSE-6-DEHYDROGENASE-RXN
12436,12436,METACYC:2.3.1.138-RXN
12584,12584,METACYC:4.2.1.98-RXN
12713,12713,METACYC:NUCLEOTIDE-PYROPHOSPHOKINASE-RXN
12725,12725,METACYC:D-IDITOL-2-DEHYDROGENASE-RXN
12741,12741,METACYC:ADP-DEAMINASE-RXN
12757,12757,METACYC:ZEATIN-REDUCTASE-RXN
12817,12817,METACYC:BIOCHANIN-A-REDUCTASE-RXN
12885,12885,METACYC:2.4.1.110-RXN
12953,12953,METACYC:2.7.11.9-RXN
56924,56924,METACYC:2.7.11.9-RXN
12997,12997,METACYC:2.3.1.130-RXN
13037,13037,METACYC:ATP-DEAMINASE-RXN
13077,13077,METACYC:2.7.1.61-RXN
13109,13109,METACYC:1.7.1.12-RXN
13113,13113,METACYC:1.7.1.12-RXN
13125,13125,METACYC:1.8.4.3-RXN
13153,13153,METACYC:1.1.1.92-RXN
13157,13157,METACYC:1.1.1.92-RXN
13321,13321,METACYC:DIMETHYLMALATE-DEHYDROGENASE-RXN
13401,13401,METACYC:FARNESOL-2-ISOMERASE-RXN
13413,13413,METACYC:ADP--THYMIDINE-KINASE-RXN
13473,13473,METACYC:N-METHYLALANINE-DEHYDROGENASE-RXN
13597,13597,METACYC:DIGUANIDINOBUTANASE-RXN
13601,13601,METACYC:4-OXOPROLINE-REDUCTASE-RXN
13661,13661,METACYC:FORMIMINOASPARTATE-DEIMINASE-RXN
13689,13689,METACYC:2.7.1.79-RXN
13705,13705,METACYC:2.4.1.138-RXN
13837,13837,METACYC:1.3.1.64-RXN
13841,13841,METACYC:DIFFERIC-TRANSFERRIN-REDUCTASE-RXN
13881,13881,METACYC:1.2.99.3-RXN
13913,13913,METACYC:THREONINE-RACEMASE-RXN
14073,14073,METACYC:HYDROXYGLUTAMATE-DECARBOXYLASE-RXN
14273,14273,METACYC:SPERMIDINE-DEHYDROGENASE-RXN
14285,14285,METACYC:2.4.1.137-RXN
14293,14293,METACYC:GLUCOSE-1-DEHYDROGENASE-NAD%2b-RXN
14365,14365,METACYC:UREIDOSUCCINASE-RXN
14385,14385,METACYC:DOLICHYLDIPHOSPHATASE-RXN
14401,14401,METACYC:CHLORDECONE-REDUCTASE-RXN
14421,14421,METACYC:3.5.1.72-RXN
14457,14457,METACYC:3-PROPYLMALATE-SYNTHASE-RXN
14537,14537,METACYC:PYRITHIAMIN-DEAMINASE-RXN
14609,14609,METACYC:1.1.1.289-RXN
14625,14625,METACYC:DEXTRIN-DEXTRANASE-RXN
14685,14685,METACYC:ALKAN-1-OL-DEHYDROGENASE-ACCEPTOR-RXN
14713,14713,METACYC:SORBOSE-DEHYDROGENASE-RXN
14785,14785,METACYC:RNA-URIDYLYLTRANSFERASE-RXN
14793,14793,METACYC:2-OXOADIPATE-REDUCTASE-RXN
14849,14849,METACYC:AMIDINOASPARTASE-RXN
14861,14861,METACYC:OROTATE-REDUCTASE-NADPH-RXN
14881,14881,METACYC:ASPARAGUSATE-REDUCTASE-NADH-RXN
14913,14913,METACYC:AMP--THYMIDINE-KINASE-RXN
14949,14949,METACYC:1.3.99.19-RXN
15001,15001,METACYC:SORBOSE-5-DEHYDROGENASE-NADP%2b-RXN
15065,15065,METACYC:ACYLAGMATINE-AMIDASE-RXN
15121,15121,METACYC:2.8.1.5-RXN
15237,15237,METACYC:NADPH--CYTOCHROME-C2-REDUCTASE-RXN
15409,15409,METACYC:2.3.1.147-RXN
15477,15477,METACYC:2.8.2.32-RXN
15605,15605,METACYC:SERINE-SULFATE-AMMONIA-LYASE-RXN
15657,15657,METACYC:1.3.1.68-RXN
15661,15661,METACYC:RXN-7945
15733,15733,METACYC:1.17.99.3-RXN
15789,15789,METACYC:L-XYLOSE-1-DEHYDROGENASE-RXN
15813,15813,METACYC:IMIDAZOLE-N-ACETYLTRANSFERASE-RXN
15829,15829,METACYC:16-HYDROXYSTEROID-EPIMERASE-RXN
15837,15837,METACYC:2.1.1.21-RXN
15841,15841,METACYC:RXN-14819
38215,38215,METACYC:RXN-14819
15905,15905,METACYC:3-HYDROXYCYCLOHEXANONE-DEHYDROGENASE-RXN
15917,15917,METACYC:ALDOSE-1-DEHYDROGENASE-RXN
15917,15917,METACYC:RXN-14233
15929,15929,METACYC:3.5.3.21-RXN
15949,15949,METACYC:1.1.1.98-RXN
15953,15953,METACYC:AGMATINE-KINASE-RXN
16009,16009,METACYC:FORMATE-KINASE-RXN
16029,16029,METACYC:GUANIDINOPROPIONASE-RXN
16041,16041,METACYC:13-BETA-OLIGOGLUCAN-PHOSPHORYLASE-RXN
16253,16253,METACYC:1.3.1.49-RXN
16273,16273,METACYC:CERAMIDE-CHOLINEPHOSPHOTRANSFERASE-RXN
16281,16281,METACYC:2.7.1.88-RXN
16289,16289,METACYC:EPHEDRINE-DEHYDROGENASE-RXN
16397,16397,METACYC:GLUCOSE-1-PHOSPHATE-PHOSPHODISMUTASE-RXN
16405,16405,METACYC:1.1.1.217-RXN
16421,16421,METACYC:1.2.7.5-RXN
16521,16521,METACYC:RXN-14040
20125,20125,METACYC:RXN-14040
16533,16533,METACYC:2.4.1.94-RXN
16605,16605,METACYC:DECYLCITRATE-SYNTHASE-RXN
16625,16625,METACYC:HYDROGEN-SULFIDE-S-ACETYLTRANSFERASE-RXN
16693,16693,METACYC:ALPHA-PINENE-OXIDE-DECYCLASE-RXN
16697,16697,METACYC:1.3.99.18-RXN
16701,16701,METACYC:ESTRADIOL-17-ALPHA-DEHYDROGENASE-RXN
16705,16705,METACYC:ESTRADIOL-17-ALPHA-DEHYDROGENASE-RXN
16733,16733,METACYC:ORSELLINATE-DECARBOXYLASE-RXN
16837,16837,METACYC:5-ACYLPHOSPHOADENOSINE-HYDROLASE-RXN
16929,16929,METACYC:ORNITHINE-N-BENZOYLTRANSFERASE-RXN
16937,16937,METACYC:ALKYLGLYCEROL-KINASE-RXN
16997,16997,METACYC:2.8.2.31-RXN
17057,17057,METACYC:2.3.1.141-RXN
17073,17073,METACYC:CORTISOL-O-ACETYLTRANSFERASE-RXN
17121,17121,METACYC:LYSINE-CARBAMOYLTRANSFERASE-RXN
17133,17133,METACYC:2.7.11.6-RXN
17165,17165,METACYC:2.7.7.32-RXN
17381,17381,METACYC:LINOLEATE-ISOMERASE-RXN
17493,17493,METACYC:GLYCEROL-DEHYDROGENASE-ACCEPTOR-RXN
17517,17517,METACYC:3.5.1.55-RXN
17553,17553,METACYC:OPHELINE-KINASE-RXN
17557,17557,METACYC:ANTHRANILATE-N-MALONYLTRANSFERASE-RXN
17597,17597,METACYC:MANNITOL-DEHYDROGENASE-CYTOCHROME-RXN
17621,17621,METACYC:CITRAMALATE-COA-TRANSFERASE-RXN
17733,17733,METACYC:4.1.1.78-RXN
17757,17757,METACYC:METHIONINE-DECARBOXYLASE-RXN
17861,17861,METACYC:CORTICOSTEROID-SIDE-CHAIN-ISOMERASE-RXN
17925,17925,METACYC:L-ARABINOSE-1-DEHYDROGENASE-RXN
18005,18005,METACYC:RXN-17773
18013,18013,METACYC:THEANINE-HYDROLASE-RXN
18097,18097,METACYC:TETRAHYDROXYPTERIDINE-CYCLOISOMERASE-RXN
18101,18101,METACYC:1.3.1.66-RXN
18129,18129,METACYC:2-OXOALDEHYDE-DEHYDROGENASE-NADP%2b-RXN
18141,18141,METACYC:CYCLOHEXANE-12-DIOL-DEHYDROGENASE-RXN
18153,18153,METACYC:2.7.7.45-RXN
18269,18269,METACYC:1.2.1.56-RXN
18285,18285,METACYC:3.5.1.83-RXN
18317,18317,METACYC:AMINO-ACID-RACEMASE-RXN
18329,18329,METACYC:%2b-SABINOL-DEHYDROGENASE-RXN
32499,32499,METACYC:%2b-SABINOL-DEHYDROGENASE-RXN
18333,18333,METACYC:MACROLIDE-2-KINASE-RXN
18413,18413,METACYC:2.4.1.179-RXN
18481,18481,METACYC:CYCLAMATE-SULFOHYDROLASE-RXN
18553,18553,METACYC:MESO-TARTRATE-DEHYDROGENASE-RXN
18665,18665,METACYC:2.7.4.17-RXN
18693,18693,METACYC:PENICILLIN-AMIDASE-RXN
18817,18817,METACYC:MALONATE-COA-TRANSFERASE-RXN
18837,18837,METACYC:2.3.1.163-RXN
18901,18901,METACYC:3.5.1.64-RXN
18989,18989,METACYC:VALINE-DECARBOXYLASE-RXN
19101,19101,METACYC:2-ALKYN-1-OL-DEHYDROGENASE-RXN
19257,19257,METACYC:CARBONYL-REDUCTASE-NADPH-RXN
19285,19285,METACYC:2.3.1.83-RXN
19293,19293,METACYC:ACYLGLYCEROL-KINASE-RXN
19321,19321,METACYC:DIMETHYLANILINE-N-OXIDE-ALDOLASE-RXN
19337,19337,METACYC:HYPONITRITE-REDUCTASE-RXN
19349,19349,METACYC:R-DEHYDROPANTOATE-DEHYDROGENASE-RXN
19485,19485,METACYC:2.4.1.23-RXN
19701,19701,METACYC:2.4.2.35-RXN
19725,19725,METACYC:UDP-GALACTURONATE-DECARBOXYLASE-RXN
19773,19773,METACYC:1.1.1.177-RXN
19777,19777,METACYC:L-PIPECOLATE-DEHYDROGENASE-RXN
19789,19789,METACYC:1.6.6.12-RXN
19857,19857,METACYC:1.1.1.147-RXN
19861,19861,METACYC:1.1.1.147-RXN
19977,19977,METACYC:TYROSINE-ESTER-SULFOTRANSFERASE-RXN
20041,20041,METACYC:MALONATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
20045,20045,METACYC:MALONATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
20081,20081,METACYC:ALKYLAMIDASE-RXN
20089,20089,METACYC:LEUCINE-N-ACETYLTRANSFERASE-RXN
20209,20209,METACYC:XYLITOL-KINASE-RXN
20257,20257,METACYC:3-METHYLENEOXINDOLE-REDUCTASE-RXN
20297,20297,METACYC:ARYL-ACYLAMIDASE-RXN
20325,20325,METACYC:2.3.1.56-RXN
20329,20329,METACYC:2.7.11.29-RXN
20341,20341,METACYC:2.4.1.96-RXN
20409,20409,METACYC:RIBOFLAVIN-PHOSPHOTRANSFERASE-RXN
20489,20489,METACYC:ALANYLPHOSPHATIDYLGLYCEROL-SYNTHASE-RXN
