rhea,rheaDir,metacyc
10628,10628,TRNA-NUCLEOTIDYLTRANSFERASE-RXN
21248,21248,DNA-DIRECTED-RNA-POLYMERASE-RXN
22508,22508,DNA-NUCLEOTIDYLEXOTRANSFERASE-RXN
10040,10041,325-BISPHOSPHATE-NUCLEOTIDASE-RXN
10092,10093,DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN
10116,10117,RXN-9952
10120,10121,AMINOCYL-TRNA-HYDROLASE-RXN
54448,54449,AMINOCYL-TRNA-HYDROLASE-RXN
10136,10137,GLYOCARBOLIG-RXN
10144,10145,3-NUCLEOTID-RXN
10192,10193,ABC-70-RXN
10196,10197,O-SUCCINYLBENZOATE-COA-SYN-RXN
10220,10221,TYROSINE--TRNA-LIGASE-RXN
10224,10225,PYRIDOXKIN-RXN
10240,10242,ENOYL-ACP-REDUCT-NADH-RXN
10248,10249,DUTP-PYROP-RXN
10260,10261,TRANS-RXN-250
10376,10377,TRANS-RXN-178
10412,10413,RXN0-1441
10440,10441,GLUCONOLACT-RXN
10456,10457,MALTACETYLTRAN-RXN
10488,10489,5-FORMYL-THF-CYCLO-LIGASE-RXN
10492,10493,RXN-5647
10532,10533,TRYPSYN-RXN
10540,10541,H2NEOPTERINALDOL-RXN
10580,10581,FOLYLPOLYGLUTAMATESYNTH-RXN
10596,10597,2.7.10.1-RXN
10676,10678,RXN-8991
10684,10685,PROTEIN-TYROSINE-PHOSPHATASE-RXN
10704,10705,VALINE--TRNA-LIGASE-RXN
10760,10761,CITLY-RXN
10772,10773,6-PHOSPHO-BETA-GLUCOSIDASE-RXN
10800,10802,XANPRIBOSYLTRAN-RXN
10840,10841,THRESYN-RXN
10912,10913,PANTOATE-BETA-ALANINE-LIG-RXN
10932,10933,ARGSUCCINSYN-RXN
10964,10965,XYLULOKIN-RXN
10992,10994,GLYOXYLATE-REDUCTASE-NADP%2b-RXN
11028,11029,MANNKIN-RXN
11036,11037,RXN-8638
11040,11041,IMIDPHOSDEHYD-RXN
11060,11061,ISOLEUCINE--TRNA-LIGASE-RXN
11064,11065,F16BDEPHOS-RXN
11092,11094,GLYC3PDEHYDROGBIOSYN-RXN
11096,11098,GLYC3PDEHYDROGBIOSYN-RXN
11112,11113,ISOCHORMAT-RXN
11116,11117,DIAMACTRANS-RXN
11120,11121,RXN-12893
11148,11149,RXN0-1483
11172,11173,HOMOCYSMETB12-RXN
11180,11181,ASPARAGINE--TRNA-LIGASE-RXN
11196,11197,DMBPPRIBOSYLTRANS-RXN
11224,11225,DALADALALIG-RXN
11268,11269,DCYSDESULF-RXN
11304,11305,UREIDOGLYCOLATE-LYASE-RXN
11308,11309,ACETYL-COA-CARBOXYLTRANSFER-RXN
11332,11333,POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN
11364,11365,PEPSYNTH-RXN
11372,11373,ASNSYNA-RXN
11412,11413,H2PTERIDINEPYROPHOSPHOKIN-RXN
11476,11477,GLYCEROL-1-PHOSPHATASE-RXN
11500,11501,KDO-8PPHOSPHAT-RXN
11596,11597,OROTPDECARB-RXN
11600,11601,RXN-11832
11672,11673,PABASYN-RXN
11680,11681,GMP-SYN-GLUT-RXN
11688,11689,LEUCINE--TRNA-LIGASE-RXN
11724,11726,1.8.4.8-RXN
11740,11742,GLUTATHIONE-REDUCT-NADPH-RXN
11756,11757,BIOTINLIG-RXN
11768,11770,PRTRANS-RXN
11800,11801,NADPYROPHOSPHAT-RXN
11828,11829,RXN-15952
11844,11846,PYRUVFORMLY-RXN
11860,11861,2.7.13.2-RXN
11960,11962,SUCCINYLDIAMINOPIMTRANS-RXN
11972,11973,RXN-15294
11988,11989,2.1.1.79-RXN
12012,12013,THIKIN-RXN
12056,12057,ERYTH4PDEHYDROG-RXN
12068,12069,HOLO-ACP-SYNTH-RXN
12080,12081,2.3.1.180-RXN
12104,12105,THYMIDYLATESYN-RXN
12120,12121,GLUC1PADENYLTRANS-RXN
12132,12133,3.6.3.3-RXN
12160,12161,KDUD-RXN
12188,12189,2OXOGLUTDECARB-RXN
12228,12229,ASNSYNB-RXN
12248,12250,UDPNACETYLMURAMATEDEHYDROG-RXN
23816,23817,PUTTRANSAM-RXN
12292,12293,SERINE--TRNA-LIGASE-RXN
12300,12301,2.5.1.25-RXN
12340,12341,LEUCYLTRANSFERASE-RXN
12344,12346,GLUTRNAREDUCT-RXN
12376,12377,FUCULOKIN-RXN
12400,12401,NMNAMIDOHYDRO-RXN
12420,12421,TAGAKIN-RXN
12484,12485,5-NUCLEOTID-RXN
12496,12497,RXN-15292
12540,12541,ALANINE--TRNA-LIGASE-RXN
12556,12557,6PGLUCONOLACT-RXN
12605,12606,DXS-RXN
12653,12654,1.1.1.39-RXN
12697,12698,GMKALT-RXN
12705,12706,2.1.1.77-RXN
12721,12722,SPERMIDINESYN-RXN
12733,12735,QUINOPRIBOTRANS-RXN
12913,12914,RXN-8654
12933,12934,FUCPALDOL-RXN
12957,12958,ACETYLESTERASE-RXN
12969,12970,GLYCPDIESTER-RXN
12977,12978,PHOSPHOAMIDASE-RXN
13017,13019,URACIL-PRIBOSYLTRANS-RXN
13065,13066,ATPASE-RXN
13073,13074,PPPGPPHYDRO-RXN
13089,13091,1.7.2.2-RXN
13097,13098,3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
13105,13106,GLYCEROL-2-PHOSPHATASE-RXN
13121,13122,SHIKIMATE-KINASE-RXN
13149,13150,NQOR-RXN
46160,46161,NQOR-RXN
46164,46165,NQOR-RXN
13161,13162,THREODEHYD-RXN
13185,13186,OHMETHYLBILANESYN-RXN
13193,13194,RXN0-743
13213,13214,SUCCSEMIALDDEHYDROG-RXN
13217,13218,SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
13237,13238,L-GLN-FRUCT-6-P-AMINOTRANS-RXN
13285,13286,GLUTCYSLIG-RXN
13381,13382,ACECOATRANS-RXN
13409,13411,RXN0-4022
13433,13434,CYTIDEAM-RXN
13481,13482,METHIONINE--TRNA-LIGASE-RXN
13493,13495,ACETOOHBUTREDUCTOISOM-RXN
13501,13502,BIOTIN-CARBOXYL-RXN
13509,13510,NAG1P-URIDYLTRANS-RXN
13517,13518,DTMPKI-RXN
13553,13554,GALACTOKIN-RXN
13557,13558,GLUTATHIONE-SYN-RXN
13617,13618,METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN
13633,13634,RXN0-3901
13657,13658,CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN
13665,13666,GUANYLCYC-RXN
13673,13674,URITRANS-RXN
13681,13682,DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
13697,13698,RIBOKIN-RXN
13713,13714,SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
13725,13726,2.3.1.157-RXN
13801,13803,SULFITE-REDUCT-RXN
13821,13822,RXN0-7316
13869,13870,PREPHENATEDEHYDROG-RXN
13893,13894,BIS5-ADENOSYL-TRIPHOSPHATASE-RXN
13897,13898,CHORISMATEMUT-RXN
13925,13926,UDPNACETYLGLUCOSAMACYLTRANS-RXN
13929,13930,AGMATIN-RXN
13953,13954,RXN-15041
13965,13966,CYSTATHIONINE-BETA-LYASE-RXN
13977,13978,DSERDEAM-RXN
13985,13986,HOMOSERKIN-RXN
14017,14018,RIBOSYLNICOTINAMIDE-KINASE-RXN
14053,14054,KDO-8PSYNTH-RXN
14085,14086,RXN-20755
14105,14107,PYRROLINECARBREDUCT-RXN
14109,14111,PYRROLINECARBREDUCT-RXN
14157,14158,TRIPHOSPHATASE-RXN
14213,14214,1PFRUCTPHOSN-RXN
14217,14219,RXN-8668
14245,14246,ATP-PYROPHOSPHATASE-RXN
14253,14254,PPGPPSYN-RXN
14265,14266,GSAAMINOTRANS-RXN
14277,14278,LACTALDDEHYDROG-RXN
14305,14306,PROLINE--TRNA-LIGASE-RXN
14353,14354,RXN0-705
14357,14358,RIBOFLAVINKIN-RXN
14369,14370,GPH-RXN
14433,14434,TRNA-CYTIDYLYLTRANSFERASE-RXN
14465,14466,HISTIDPHOS-RXN
14545,14546,NICOTINAMID-RXN
14573,14574,GLUCARDEHYDRA-RXN
14613,14614,ABC-64-RXN
14629,14630,ACETYLGLUTKIN-RXN
14665,14666,GUANINE-DEAMINASE-RXN
14725,14726,BTUR2-RXN
