EN_Reaction,Protein,GuessedStoichiometry,SubunitID
R00006,WP_014230733.1,2,B
R00006,WP_014233403.1,2,B
R00006,WP_020333557.1,2,A
R00006,WP_020335849.1,2,A
R00014,WP_014230733.1,2,A
R00014,WP_014233403.1,2,B
R00014,WP_020333557.1,2,B
R00014,WP_020335849.1,2,A
R00226,WP_014230733.1,2,A
R00226,WP_014233403.1,2,B
R00226,WP_020333557.1,2,B
R00226,WP_020335849.1,2,A
R00529,WP_014230681.1,1,A
R00529,WP_014230682.1,1,A
R00529,WP_020335738.1,1,B
R00529,WP_201765966.1,1,B
R00575,WP_014230812.1,2,B
R00575,WP_014230813.1,2,A
R00674,WP_014232411.1,2,A
R00674,WP_014232411.1,2,B
R00674,WP_020335269.1,2,A
R00674,WP_020335573.1,2,B
R00787,WP_014233998.1,1,A
R00787,WP_014234175.1,2,B
R00787,WP_020333805.1,2,A
R00787,WP_020334835.1,1,B
R00798,WP_014233791.1,1,A
R00798,WP_020334163.1,1,A
R00985,WP_014232407.1,2,B
R00985,WP_020335570.1,2,A
R00986,WP_014232407.1,2,B
R00986,WP_020335570.1,2,A
R01106,WP_014233791.1,1,A
R01106,WP_020334163.1,1,A
R01397,WP_014233064.1,6,A
R01397,WP_020334484.1,6,A
R01768,WP_020334083.1,1,A
R01768,WP_020334084.1,1,A
R01768,WP_020334085.1,1,A
R02017,WP_020335551.1,2,A
R02017,WP_020335552.1,2,A
R02018,WP_020335551.1,2,A
R02018,WP_020335552.1,2,A
R02019,WP_020335551.1,2,A
R02019,WP_020335552.1,2,A
R02024,WP_020335551.1,2,A
R02024,WP_020335552.1,2,A
R02103,WP_020334083.1,1,A
R02103,WP_020334084.1,1,A
R02103,WP_020334085.1,1,A
R02164,WP_014231146.1,1,A
R02164,WP_014231147.1,1,A
R02164,WP_014231148.1,1,A
R02164,WP_014231149.1,1,A
R02164,WP_014233228.1,1,A
R02164,WP_014233229.1,1,A
R02164,WP_020336198.1,1,A
R02164,WP_020336199.1,1,A
R02340,WP_014232411.1,2,A
R02340,WP_014232411.1,2,B
R02340,WP_020335269.1,2,A
R02340,WP_020335573.1,2,B
R02722,WP_014232411.1,2,A
R02722,WP_014232411.1,2,B
R02722,WP_020335269.1,2,A
R02722,WP_020335573.1,2,B
R03050,WP_014230733.1,2,A
R03050,WP_020333557.1,2,A
R03050,WP_020335849.1,2,A
R03050,WP_020335849.1,2,A
R03601,WP_024372701.1,2,A
R03601,WP_061778637.1,2,A
R03896,WP_014230723.1,1,A
R03896,WP_014230724.1,1,A
R03898,WP_014230723.1,1,B
R03898,WP_014230724.1,1,B
R03968,WP_014230723.1,1,A
R03968,WP_014230724.1,1,A
R04001,WP_014230723.1,1,A
R04001,WP_014230724.1,1,A
R04672,WP_014230733.1,2,A
R04672,WP_014233403.1,2,B
R04672,WP_020333557.1,2,A
R04672,WP_020333557.1,2,B
R04673,WP_014230733.1,2,A
R04673,WP_014233403.1,2,B
R04673,WP_020333557.1,2,A
R04673,WP_020333557.1,2,B
R04859,WP_024372701.1,2,A
R04859,WP_061778637.1,2,A
R04929,WP_014230682.1,1,A
R04929,WP_020335738.1,1,B
R04929,WP_201765966.1,1,A
R04929,WP_201765966.1,1,B
R05290,WP_020334207.1,1,A
R05290,WP_020334208.1,1,A
R05290,WP_020334209.1,1,A
R05428,WP_020334207.1,1,B
R05428,WP_020334208.1,1,B
R05428,WP_020334209.1,1,B
R05621,WP_020334207.1,1,C
R05621,WP_020334208.1,1,C
R05621,WP_020334209.1,1,C
R05665,WP_020334207.1,1,A
R05665,WP_020334208.1,1,A
R05665,WP_020334209.1,1,A
R06783,WP_020333180.1,1,A
R06783,WP_020333182.1,1,A
R06783,WP_020333183.1,1,A
R06783,WP_020333184.1,1,A
R08620,WP_014230723.1,1,A
R08620,WP_014230724.1,1,A
R08624,WP_014230723.1,1,A
R08624,WP_014230724.1,1,A
R08628,WP_014230723.1,1,A
R08628,WP_014230724.1,1,A
R08634,WP_014230723.1,1,A
R08634,WP_014230724.1,1,A
R08641,WP_014230723.1,1,A
R08641,WP_014230724.1,1,A
R08645,WP_014230723.1,1,A
R08645,WP_014230724.1,1,A
R08648,WP_014230733.1,2,A
R08648,WP_014233403.1,2,A
R08648,WP_020333557.1,2,A
R08648,WP_020333557.1,2,B
R08648,WP_020335849.1,2,A
R08648,WP_020335849.1,2,B
R09395,WP_020335667.1,2,A
R09395,WP_020335669.1,2,A
R09838,WP_020334267.1,2,A
R09838,WP_020334268.1,3,B
R09838,WP_020334269.1,2,A
R09838,WP_020334270.1,1,B
R09838,WP_020334272.1,1,B
R10170,WP_014230723.1,1,A
R10170,WP_014230724.1,1,A
