Reaction;Protein;Stoichiometry;Subunit;Notes;RHEA_ID;Equation;KEGG
R00004;WP_014230697.1;6;A;ppa;24579;diphosphate+H2O<=>2phosphate+H(+);Diphosphate + H2O -> Orthophosphate
R00004;WP_014231511.1;2;B;ppaC;24579;diphosphate+H2O<=>2phosphate+H(+);Diphosphate + H2O -> Orthophosphate
R00006;WP_014230733.1;2;B;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_014230733.1;2;B;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_014230733.1;2;B;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_014230733.1;2;B;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_014233403.1;2;B;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_014233403.1;2;B;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_014233403.1;2;B;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_014233403.1;2;B;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_020333557.1;2;A;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_020333557.1;2;A;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_020333557.1;2;A;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_020333557.1;2;A;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_020335849.1;2;A;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_020335849.1;2;A;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_020335849.1;2;A;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00006;WP_020335849.1;2;A;;25252;2pyruvate+H(+)<=>(2S)-2-acetolactate+CO2;CO2 + 2-Acetolactate <- Pyruvate
R00028;WP_020335659.1;1;;;68799;D-maltose+H2O<=>alpha-D-glucose+D-glucose;Maltose + H2O -> D-Glucose
R00028;WP_020333716.1;1;;;68799;D-maltose+H2O<=>alpha-D-glucose+D-glucose;Maltose + H2O -> D-Glucose
R00036;WP_031779279.1;8;;;24067;25-aminolevulinate<=>porphobilinogen+2H2O+H(+);5-Aminolevulinate -> Porphobilinogen + H2O
R00066;WP_020333251.1;60;;;20775;26,7-dimethyl-8-(1-D-ribityl)lumazine+H(+)<=>5-amino-6-(D-ribitylamino)uracil+riboflavin;6,7-Dimethyl-8-(D-ribityl)lumazine -> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil
R00066;WP_020333699.1;60;;;20775;26,7-dimethyl-8-(1-D-ribityl)lumazine+H(+)<=>5-amino-6-(D-ribitylamino)uracil+riboflavin;6,7-Dimethyl-8-(D-ribityl)lumazine -> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil
R00078;WP_014233168.1;24;;;11151;4Fe(2+)+O2+4H(+)<=>4Fe(3+)+2H2O;Oxygen + Fe2+ + H+ <-> Fe3+ + H2O
R00084;WP_020334065.1;1;;;13188;4porphobilinogen+H2O<=>hydroxymethylbilane+4NH4(+);Porphobilinogen + H2O -> Hydroxymethylbilane + Ammonia
R00086;WP_020333972.1;2;;;13068;ATP+H2O<=>ADP+phosphate+H(+);ATP + H2O -> ADP + Orthophosphate
R00086;WP_020333972.1;2;;;14676;apolaraminoacid(out)+ATP+H2O<=>apolaraminoacid(in)+ADP+phosphate+H(+);ATP + H2O -> ADP + Orthophosphate
R00086;WP_020333972.1;2;;;14736;Ag(+)(in)+ATP+H2O<=>Ag(+)(out)+ADP+phosphate+H(+);ATP + H2O -> ADP + Orthophosphate
R00086;WP_020333972.1;2;;;15184;anacyl-CoA(out)+ATP+H2O<=>anacyl-CoA(in)+ADP+phosphate+H(+);ATP + H2O -> ADP + Orthophosphate
R00086;WP_020333972.1;2;;;20624;Zn(2+)(in)+ATP+H2O<=>Zn(2+)(out)+ADP+phosphate+H(+);ATP + H2O -> ADP + Orthophosphate
R00086;WP_020333972.1;2;;;20855;ATP+H2O+H(+)(in)<=>ADP+phosphate+2H(+)(out);ATP + H2O -> ADP + Orthophosphate
R00087;WP_020333972.1;2;;;14248;ATP+H2O<=>AMP+diphosphate+H(+);ATP + H2O -> Diphosphate + AMP
R00089;WP_020334064.1;1;;;15392;ATP<=>3',5'-cyclicAMP+diphosphate;ATP -> Diphosphate + 3',5'-Cyclic AMP
R00093;WP_020335903.1;2;A;;13756;2L-glutamate+NAD(+)<=>L-glutamine+2-oxoglutarate+NADH+H(+);L-Glutamate + NAD+ <- 2-Oxoglutarate + H+ + L-Glutamine + NADH
R00093;WP_014230823.1;2;A;;13756;2L-glutamate+NAD(+)<=>L-glutamine+2-oxoglutarate+NADH+H(+);L-Glutamate + NAD+ <- 2-Oxoglutarate + H+ + L-Glutamine + NADH
R00093;WP_020335901.1;2;B;;13756;2L-glutamate+NAD(+)<=>L-glutamine+2-oxoglutarate+NADH+H(+);L-Glutamate + NAD+ <- 2-Oxoglutarate + H+ + L-Glutamine + NADH
R00093;WP_014230821.1;2;B;;13756;2L-glutamate+NAD(+)<=>L-glutamine+2-oxoglutarate+NADH+H(+);L-Glutamate + NAD+ <- 2-Oxoglutarate + H+ + L-Glutamine + NADH
R00103;WP_020334705.1;2;;;11803;NAD(+)+H2O<=>beta-nicotinamideD-ribonucleotide+AMP+2H(+);NAD+ + H2O -> Nicotinamide D-ribonucleotide + AMP
R00103;WP_020333972.1;2;;;11803;NAD(+)+H2O<=>beta-nicotinamideD-ribonucleotide+AMP+2H(+);NAD+ + H2O -> Nicotinamide D-ribonucleotide + AMP
R00104;WP_014230981.1;6;;;18632;NAD(+)+ATP<=>ADP+NADP(+)+H(+);ATP + NAD+ <-> ADP + NADP+
R00112;WP_014233300.1;8;A;;11695;NAD(+)+NADPH<=>NADH+NADP(+);NAD+ + NADPH <-> NADP+ + NADH
