map00010	Glycolysis / Gluconeogenesis
map00020	Citrate cycle (TCA cycle)
map00030	Pentose phosphate pathway
map00040	Pentose and glucuronate interconversions
map00051	Fructose and mannose metabolism
map00052	Galactose metabolism
map00053	Ascorbate and aldarate metabolism
map00500	Starch and sucrose metabolism
map00520	Amino sugar and nucleotide sugar metabolism
map00620	Pyruvate metabolism
map00630	Glyoxylate and dicarboxylate metabolism
map00640	Propanoate metabolism
map00650	Butanoate metabolism
map00660	C5-Branched dibasic acid metabolism
map00562	Inositol phosphate metabolism
map00190	Oxidative phosphorylation
map00195	Photosynthesis
map00196	Photosynthesis - antenna proteins
map00710	Carbon fixation by Calvin cycle
map00720	Other carbon fixation pathways
map00680	Methane metabolism
map00910	Nitrogen metabolism
map00920	Sulfur metabolism
map00061	Fatty acid biosynthesis
map00062	Fatty acid elongation
map00071	Fatty acid degradation
map00073	Cutin, suberine and wax biosynthesis
map00074	Mycolic acid biosynthesis
map00100	Steroid biosynthesis
map00120	Primary bile acid biosynthesis
map00121	Secondary bile acid biosynthesis
map00140	Steroid hormone biosynthesis
map00561	Glycerolipid metabolism
map00564	Glycerophospholipid metabolism
map00565	Ether lipid metabolism
map00600	Sphingolipid metabolism
map00590	Arachidonic acid metabolism
map00591	Linoleic acid metabolism
map00592	alpha-Linolenic acid metabolism
map01040	Biosynthesis of unsaturated fatty acids
map00230	Purine metabolism
map00240	Pyrimidine metabolism
map00250	Alanine, aspartate and glutamate metabolism
map00260	Glycine, serine and threonine metabolism
map00270	Cysteine and methionine metabolism
map00280	Valine, leucine and isoleucine degradation
map00290	Valine, leucine and isoleucine biosynthesis
map00300	Lysine biosynthesis
map00310	Lysine degradation
map00220	Arginine biosynthesis
map00330	Arginine and proline metabolism
map00340	Histidine metabolism
map00350	Tyrosine metabolism
map00360	Phenylalanine metabolism
map00380	Tryptophan metabolism
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
map00410	beta-Alanine metabolism
map00430	Taurine and hypotaurine metabolism
map00440	Phosphonate and phosphinate metabolism
map00450	Selenocompound metabolism
map00460	Cyanoamino acid metabolism
map00470	D-Amino acid metabolism
map00480	Glutathione metabolism
map00510	N-Glycan biosynthesis
map00513	Various types of N-glycan biosynthesis
map00512	Mucin type O-glycan biosynthesis
map00515	Mannose type O-glycan biosynthesis
map00514	Other types of O-glycan biosynthesis
map00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
map00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
map00533	Glycosaminoglycan biosynthesis - keratan sulfate
map00531	Glycosaminoglycan degradation
map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
map00601	Glycosphingolipid biosynthesis - lacto and neolacto series
map00603	Glycosphingolipid biosynthesis - globo and isoglobo series
map00604	Glycosphingolipid biosynthesis - ganglio series
map00511	Other glycan degradation
map00540	Lipopolysaccharide biosynthesis
map00542	O-Antigen repeat unit biosynthesis
map00541	O-Antigen nucleotide sugar biosynthesis
map00550	Peptidoglycan biosynthesis
map00552	Teichoic acid biosynthesis
map00571	Lipoarabinomannan (LAM) biosynthesis
map00572	Arabinogalactan biosynthesis - Mycobacterium
map00543	Exopolysaccharide biosynthesis
map00730	Thiamine metabolism
map00740	Riboflavin metabolism
map00750	Vitamin B6 metabolism
map00760	Nicotinate and nicotinamide metabolism
map00770	Pantothenate and CoA biosynthesis
map00780	Biotin metabolism
map00785	Lipoic acid metabolism
map00790	Folate biosynthesis
map00670	One carbon pool by folate
map00830	Retinol metabolism
map00860	Porphyrin metabolism
map00130	Ubiquinone and other terpenoid-quinone biosynthesis
map00900	Terpenoid backbone biosynthesis
map00902	Monoterpenoid biosynthesis
map00909	Sesquiterpenoid and triterpenoid biosynthesis
map00904	Diterpenoid biosynthesis
map00906	Carotenoid biosynthesis
map00905	Brassinosteroid biosynthesis
map00981	Insect hormone biosynthesis
map00908	Zeatin biosynthesis
map00903	Limonene degradation
map00907	Pinene, camphor and geraniol degradation
map01052	Type I polyketide structures
map00522	Biosynthesis of 12-, 14- and 16-membered macrolides
map01051	Biosynthesis of ansamycins
map01059	Biosynthesis of enediyne antibiotics
map01056	Biosynthesis of type II polyketide backbone
map01057	Biosynthesis of type II polyketide products
map00253	Tetracycline biosynthesis
map00523	Polyketide sugar unit biosynthesis
map01054	Nonribosomal peptide structures
map01053	Biosynthesis of siderophore group nonribosomal peptides
map01055	Biosynthesis of vancomycin group antibiotics
map00940	Phenylpropanoid biosynthesis
map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
map00941	Flavonoid biosynthesis
map00944	Flavone and flavonol biosynthesis
map00942	Anthocyanin biosynthesis
map00943	Isoflavonoid biosynthesis
map00946	Degradation of flavonoids
map00901	Indole alkaloid biosynthesis
map00403	Indole diterpene alkaloid biosynthesis
map00950	Isoquinoline alkaloid biosynthesis
map00960	Tropane, piperidine and pyridine alkaloid biosynthesis
map00996	Biosynthesis of various alkaloids
map00232	Caffeine metabolism
map00965	Betalain biosynthesis
map00966	Glucosinolate biosynthesis
map00402	Benzoxazinoid biosynthesis
map00311	Penicillin and cephalosporin biosynthesis
map00332	Carbapenem biosynthesis
map00261	Monobactam biosynthesis
map00331	Clavulanic acid biosynthesis
map00521	Streptomycin biosynthesis
map00524	Neomycin, kanamycin and gentamicin biosynthesis
map00525	Acarbose and validamycin biosynthesis
map00401	Novobiocin biosynthesis
map00404	Staurosporine biosynthesis
map00405	Phenazine biosynthesis
map00333	Prodigiosin biosynthesis
map00254	Aflatoxin biosynthesis
map00998	Biosynthesis of various antibiotics
map00999	Biosynthesis of various plant secondary metabolites
map00997	Biosynthesis of various other secondary metabolites
map00362	Benzoate degradation
map00627	Aminobenzoate degradation
map00364	Fluorobenzoate degradation
map00625	Chloroalkane and chloroalkene degradation
map00361	Chlorocyclohexane and chlorobenzene degradation
map00623	Toluene degradation
map00622	Xylene degradation
map00633	Nitrotoluene degradation
map00642	Ethylbenzene degradation
map00643	Styrene degradation
map00791	Atrazine degradation
map00930	Caprolactam degradation
map00363	Bisphenol degradation
map00621	Dioxin degradation
map00626	Naphthalene degradation
map00624	Polycyclic aromatic hydrocarbon degradation
map00365	Furfural degradation
map00984	Steroid degradation
map00980	Metabolism of xenobiotics by cytochrome P450
map00982	Drug metabolism - cytochrome P450
map00983	Drug metabolism - other enzymes
map01060	Biosynthesis of plant secondary metabolites
map01061	Biosynthesis of phenylpropanoids
map01062	Biosynthesis of terpenoids and steroids
map01063	Biosynthesis of alkaloids derived from shikimate pathway
map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
map01065	Biosynthesis of alkaloids derived from histidine and purine
map01066	Biosynthesis of alkaloids derived from terpenoid and polyketide
map01070	Biosynthesis of plant hormones
