Metabolite,Coefficient
37565,-0.14018433950451095
57844,-0.08251391537110715
46398,-0.15674001906799956
32551,-0.24990784205607278
25629,-0.04453870625662778
glycogen,-0.222369617234223
61429,-0.014732909101875873
57972,-0.5823294369518263
60039,-0.1452382699935633
29985,-0.25564823143652526
57762,-0.34911892664890853
57427,-0.29218292900209103
58315,-0.0619737547164572
57305,-0.5121203734284157
32682,-0.16566768773079216
58048,-0.1408294163406941
58359,-0.1298877297665192
33384,-0.2315567831267755
37563,-0.13930906303307017
61404,-0.018613204082362417
30807,-0.03610816542948038
58540,-0.016148884627383158
61481,-0.015997758989378497
61388,-0.01383519346005057
37568,-0.01879080191212535
35235,-0.02790747634418275
57912,-0.01564851513285278
57595,-0.06595782972054852
30616,-0.17591606656743444
58045,-0.21761296273846745
57926,-0.21182967538892483
29991,-0.18907203938127126
58095,-0.0921152127214226
7896,-0.22993107104984092
