locustag,Desc
PN96_RS15185,malK
PN96_RS15195,vpsM
PN96_RS15200,vpsN
PN96_RS15205,exoP
PN96_RS15240,vpsQ
PN96_RS15250,nemR
PN96_RS15255,curA
PN96_RS15260,gst
PN96_RS15265,hibadh
PN96_RS15280,eutQ
PN96_RS15290,rubB
PN96_RS15315,vcaM
PN96_RS15325,fhuC
PN96_RS15330,fhuD
PN96_RS15335,fhuB
PN96_RS15345,hasE
PN96_RS15350,hasD
PN96_RS15365,vpsT
PN96_RS15375,moxR
PN96_RS15390,yfbK
PN96_RS15395,yfbK
PN96_RS15405,pstB
PN96_RS15410,pstA
PN96_RS15415,pstC
PN96_RS15420,pstS
PN96_RS15425,mcp
PN96_RS15435,lpp
PN96_RS15440,ycfS
PN96_RS15445,phr
PN96_RS15460,deoD
PN96_RS15490,mtsT
PN96_RS15500,napH
PN96_RS15505,napG
PN96_RS15510,aaaT
PN96_RS15540,preP
PN96_RS15550,lutP
PN96_RS15555,lldD
PN96_RS15565,ynaI
PN96_RS15570,cah
PN96_RS15580,cspA
PN96_RS15590,tdh
PN96_RS15595,kbl
PN96_RS15645,yaeR
PN96_RS15655,cybC
PN96_RS15660,ycdX
PN96_RS15720,fpr
PN96_RS15725,ybgC
PN96_RS15735,dacC
PN96_RS15760,marC
PN96_RS15785,cpg
PN96_RS15800,amy
PN96_RS15805,mtgA
PN96_RS15815,malQ
PN96_RS15820,pyg
PN96_RS15825,malT
PN96_RS15850,rsgA
PN96_RS15855,sstT
PN96_RS15860,pdxK
PN96_RS15870,pulA
PN96_RS15885,malM
PN96_RS15890,lamB
PN96_RS15895,isa
PN96_RS15900,scrR
PN96_RS15905,scrA
PN96_RS15930,yclQ
PN96_RS15935,yclN
PN96_RS15940,yclO
PN96_RS15945,yclP
PN96_RS15955,emrB
PN96_RS15960,emrA
PN96_RS15970,tnaA
PN96_RS15975,mtr
PN96_RS16005,sugE
PN96_RS16015,gst
PN96_RS16020,mmsA
PN96_RS16030,bauR
PN96_RS16045,ectC
PN96_RS16050,putP
PN96_RS16065,tynA
PN96_RS16075,tynB
PN96_RS16110,sacC
PN96_RS16115,sacB
PN96_RS16120,katG
PN96_RS16130,pqqL
PN96_RS16135,cslA
PN96_RS16145,ugl
PN96_RS16150,galT
PN96_RS16155,galE
PN96_RS16165,lacZ
PN96_RS16175,mcp
PN96_RS16205,atsB
PN96_RS16220,fecB
PN96_RS16225,fecA
PN96_RS16230,ompU
PN96_RS16235,araH
PN96_RS16240,araG
PN96_RS16245,araF
PN96_RS16250,araB
PN96_RS16255,araD
PN96_RS16260,araA
PN96_RS16265,araC
PN96_RS16270,galM
PN96_RS16290,tauC
PN96_RS16295,tauB
PN96_RS16300,tauA
PN96_RS16305,tpa
PN96_RS16345,osmC
PN96_RS16350,ohrR
PN96_RS16355,ahpC
PN96_RS16360,ahpF
PN96_RS16365,atsA
PN96_RS16380,lrp
PN96_RS16390,putP
PN96_RS16400,putA
PN96_RS16420,pdxH
PN96_RS16425,dctB
PN96_RS16435,lapC
PN96_RS16450,lapB
PN96_RS16460,oppA
PN96_RS16465,mpaA
PN96_RS16475,tmcA
PN96_RS16480,parB
PN96_RS16485,parA
PN96_RS16500,ddpF
PN96_RS16505,ddpD
PN96_RS16560,ppiB
PN96_RS16570,gltS
PN96_RS16595,nagB
PN96_RS16610,hdfR
PN96_RS16615,pir
PN96_RS16630,ada
PN96_RS16635,ogt
PN96_RS16680,ppnP
PN96_RS16695,dinF
PN96_RS16705,rluA
PN96_RS16715,cdgA
PN96_RS16725,frmB
PN96_RS16730,frmA
PN96_RS16750,kdgR
PN96_RS16755,kduD
PN96_RS16770,kdgK
PN96_RS16775,eda
PN96_RS16805,ompW
PN96_RS16810,rof
PN96_RS16820,macrod
PN96_RS16850,cdaR
PN96_RS16860,glxK
PN96_RS16875,torY
PN96_RS16880,torZ
PN96_RS16885,pgpB
PN96_RS16890,thiE
PN96_RS16895,thiM
PN96_RS16900,tenA
