KEGG_ID,Protein,Stoichiometry,Isozyme,RHEA_ID
R00004,WP_014230697.1,6,A,24576
R00004,WP_014231511.1,2,B,24576
R00006,WP_014230733.1,2,B,25249
R00006,WP_014230733.1,2,B,25249
R00006,WP_014230733.1,2,B,25249
R00006,WP_014230733.1,2,B,25249
R00006,WP_014233403.1,2,B,25249
R00006,WP_014233403.1,2,B,25249
R00006,WP_014233403.1,2,B,25249
R00006,WP_014233403.1,2,B,25249
R00006,WP_020333557.1,2,A,25249
R00006,WP_020333557.1,2,A,25249
R00006,WP_020333557.1,2,A,25249
R00006,WP_020333557.1,2,A,25249
R00006,WP_020335849.1,2,A,25249
R00006,WP_020335849.1,2,A,25249
R00006,WP_020335849.1,2,A,25249
R00006,WP_020335849.1,2,A,25249
R00036,WP_031779279.1,8,,24064
R00066,WP_020333251.1,60,,20772
R00066,WP_020333699.1,60,,20772
R00078,WP_014233168.1,24,,11148
R00084,WP_020334065.1,1,,13185
R00087,WP_020333972.1,2,,14245
R00089,WP_020334064.1,1,,15389
R00093,WP_020335903.1,2,A,13753
R00093,WP_014230823.1,2,A,13753
R00093,WP_020335901.1,2,B,13753
R00093,WP_014230821.1,2,B,13753
R00103,WP_020334705.1,2,,11800
R00104,WP_014230981.1,6,,18629
R00112,WP_014233300.1,8,A,11692
R00114,WP_020335903.1,2,A,15501
R00114,WP_014230823.1,2,A,15501
R00114,WP_020335901.1,2,B,15501
R00114,WP_014230821.1,2,B,15501
R00125,WP_014230715.1,1,,24252
R00127,WP_014231127.1,1,,12973
R00130,WP_020333951.1,1,,18245
R00150,WP_020336084.1,1,,10152
R00156,WP_014230937.1,4,,25098
R00158,WP_005494271.1,6,,24400
R00161,WP_020335928.1,1,,17237
R00174,WP_020333481.1,2,,10224
R00174,WP_020335174.1,2,,10224
R00177,WP_014233023.1,4,,21080
R00182,WP_014231027.1,1,,20129
R00183,WP_020332984.1,1,,29375
R00183,WP_020333325.1,1,,29375
R00183,WP_020334911.1,1,,29375
R00183,WP_024372917.1,1,,29375
R00183,WP_024372975.1,1,,29375
R00189,WP_020333748.1,2,,21188
R00189,WP_020335374.1,2,,21188
R00190,WP_020334560.1,2,,16609
R00191,WP_014230774.1,1,,25277
R00194,WP_014230819.1,2,,17805
R00196,WP_014234939.1,1,,19909
R00199,WP_020334436.1,2,,11364
R00199,WP_020334978.1,2,,11364
R00200,WP_014230734.1,4,,18157
R00200,WP_020335623.1,4,,18157
R00212,WP_020332855.1,2,,11844
R00212,WP_014231297.1,1,,11844
R00214,WP_014231589.1,4,,12653
R00216,WP_014233167.1,8,,18253
R00217,WP_014232970.1,1,A,15641
R00217,WP_020333959.1,1,A,15641
R00217,WP_020333958.1,1,A,15641
R00220,WP_014232352.1,2,,19169
R00220,WP_014233589.1,2,,19169
R00220,WP_020335220.1,2,,19169
R00221,WP_020333012.1,1,,13977
R00226,WP_014230733.1,2,A,25249
R00226,WP_014233403.1,2,B,25249
R00226,WP_020333557.1,2,B,25249
R00226,WP_020335849.1,2,A,25249
R00228,WP_020333215.1,1,,23288
R00230,WP_014232520.1,6,,19521
R00230,WP_020335188.1,6,,19521
R00236,WP_020336224.1,1,,23176
R00236,WP_020334974.1,1,,23176
R00238,WP_061778630.1,1,,21036
R00239,WP_014231006.1,4,,14877
R00243,WP_014231888.1,1,,15133
R00245,WP_020335027.1,2,,30235
R00245,WP_024372956.1,2,,30235
R00248,WP_020335903.1,2,A,11612
R00248,WP_014230823.1,2,A,11612
R00248,WP_020335901.1,2,B,11612
R00248,WP_014230821.1,2,B,11612
R00253,WP_020332829.1,12,,16169
R00253,WP_014231254.1,12,,16169
R00253,WP_014230521.1,12,,16169
R00256,WP_014233039.1,4,,15889
R00257,WP_020333748.1,2,,24384
R00258,WP_014231230.1,2,,19453
R00259,WP_014232813.1,6,,24292
R00259,WP_014233156.1,1,,24292
R00260,WP_014233294.1,1,,12813
R00261,WP_020333004.1,1,,17785
R00268,WP_014231318.1,2,,19381
R00277,WP_014235106.1,2,,15817
R00278,WP_014235106.1,2,,15149
R00286,WP_020335767.1,1,,23596
R00289,WP_014233119.1,5,,19889
R00289,WP_014233119.1,4,,19889
R00291,WP_020333532.1,1,,22168
R00310,WP_020333364.1,1,,22584
R00315,WP_014232519.1,2,,11352
R00315,WP_020336024.1,2,,11352
R00330,WP_014230937.1,4,,27686
R00332,WP_014230561.1,4,,20780
R00336,WP_014230559.1,1,,14253
R00341,WP_014230529.1,1,,18617
R00342,WP_014230708.1,2,,21432
R00351,WP_020334027.1,6,,16845
R00369,WP_020334524.1,1,,24248
R00371,WP_020333441.1,2,,20736
R00396,WP_014231457.1,1,,18405
R00405,WP_014231153.1,2,A,17661
R00405,WP_014231152.1,2,A,17661
R00409,WP_014231937.1,4,,16809
R00411,WP_014231645.1,1,,15169
R00416,WP_014233410.1,3,,13509
R00425,WP_014231011.1,2,,23704
R00425,WP_014232379.1,2,,23704
R00426,WP_020333972.1,2,,29391
R00429,WP_014232988.1,1,,22088
R00430,WP_014230734.1,4,,30295
R00430,WP_020335623.1,4,,30295
R00451,WP_020334062.1,2,,15101
R00470,WP_020335092.1,3,,18169
R00470,WP_020336248.1,3,,18169
R00472,WP_014230918.1,1,,18181
R00479,WP_020333635.1,4,,13245
R00480,WP_014231961.1,2,,23776
R00480,WP_020333960.1,2,,23776
R00480,WP_020334525.1,2,,23776
R00480,WP_020334621.1,4,,23776
R00480,WP_020335910.1,4,,23776
R00481,WP_014233002.1,1,,25876
R00485,WP_020334548.1,4,,21016
R00489,WP_020333004.1,1,,19497
R00490,WP_020336214.1,4,,16601
R00490,WP_020333857.1,4,,16601
R00494,WP_024372667.1,1,,28807
R00494,WP_020333391.1,1,,28807
R00497,WP_020333997.1,4,,13557
R00508,WP_020335696.1,1,,77639
R00188,WP_020335696.1,1,,77643
R00188,WP_020335696.1,1,,10040
R00510,WP_014231027.1,1,,30075
R00511,WP_020332984.1,1,,29367
R00511,WP_020333325.1,1,,29367
R00511,WP_020334911.1,1,,29367
R00511,WP_024372917.1,1,,29367
R00511,WP_024372975.1,1,,29367
R00512,WP_014232468.1,1,,11600
R00513,WP_014232504.1,4,,24674
R00515,WP_020333972.1,2,,27762
R00517,WP_014232504.1,4,,28162
R00519,WP_014231816.1,1,A,15985
R00519,WP_014231815.1,1,A,15985
R00519,WP_014231814.1,1,A,15985
R00519,WP_014231816.1,1,B,15985
R00519,WP_014231815.1,1,B,15985
R00519,WP_020335329.1,1,B,15985
R00519,WP_014231816.1,1,C,15985
R00519,WP_014231815.1,1,C,15985
R00519,WP_020334981.1,1,C,15985
R00548,WP_020334058.1,1,,35587
R00549,WP_020335928.1,1,,14357
R00551,WP_020333152.1,1,,20569
R00552,WP_020334482.1,1,,19597
R00566,WP_024373026.1,4,,17641
R00570,WP_014230937.1,4,,25237
R00571,WP_020333971.1,4,,16597
R00573,WP_020333971.1,4,,26426
R00575,WP_014230812.1,2,A,18633
R00575,WP_014230813.1,2,A,18633
R00578,WP_020333366.1,2,,12228
R00582,WP_014232862.1,1,,21208
R00585,WP_020334524.1,1,,22852
R00586,WP_014233221.1,6,,24560
R00588,WP_020334524.1,1,,19125
R00590,WP_014233589.1,1,,40663
R00590,WP_020335220.1,1,,40663
R00590,WP_014232352.1,1,,40663
R00610,WP_020335222.1,1,A,13313
R00610,WP_020335223.1,1,A,13313
R00610,WP_014234561.1,1,A,13313
R00610,WP_014234562.1,1,A,13313
R00610,WP_020335344.1,1,A,13313
R00654,WP_020334539.1,1,,23800
R00658,WP_014232985.1,2,,10164
R00660,WP_020334485.1,1,,18681
R00662,WP_020333972.1,2,,29395
R00669,WP_014233160.1,2,,15941
R00670,WP_020333507.1,1,,22964
R00671,WP_024372791.1,1,,24368
R00673,WP_020333497.1,4,,19553
R00674,WP_014232411.1,2,A,26434
R00674,WP_014232411.1,2,B,26434
R00674,WP_020335269.1,2,A,26434
R00674,WP_020335573.1,2,B,26434
R00691,WP_020333562.1,1,,12536
R00694,WP_014232358.1,2,,25152
R00694,WP_024372863.1,2,,25152
R00703,WP_014233519.1,4,,23444
R00704,WP_020334627.1,1,,16369
R00704,WP_020334824.1,1,,51468
R00705,WP_020336438.1,1,,22992
R00705,WP_020333504.1,1,,22992
R00705,WP_020333786.1,1,,22992
R00705,WP_024372971.1,1,,22992
R00706,WP_020336438.1,1,,22988
R00706,WP_020333504.1,1,,22988
R00706,WP_020333786.1,1,,22988
R00706,WP_024372971.1,1,,22988
R00707,WP_020335027.1,2,,16417
R00707,WP_024372956.1,2,,16417
R00708,WP_020335027.1,2,,24882
R00708,WP_024372956.1,2,,24882
R00711,WP_014231945.1,1,,25298
R00711,WP_014231945.1,4,,25298
R00713,WP_020335229.1,4,,13217
R00713,WP_020335349.1,4,,13217
R00713,WP_020336395.1,4,,13217
R00714,WP_020335229.1,4,,13213
R00714,WP_020335349.1,4,,13213
R00714,WP_020336395.1,4,,13213
R00720,WP_020333972.1,2,,29399
R00722,WP_014230937.1,4,,30347
R00722,WP_014230937.1,4,,28330
R00734,WP_014232358.1,2,,15093
R00734,WP_024372863.1,2,,15093
R00750,WP_020333217.1,1,,22624
R00751,WP_020334819.1,4,,19625
R00754,WP_014234621.1,1,,25290
R00754,WP_020335086.1,1,,25290
R00754,WP_014234621.1,2,,25290
R00754,WP_020335086.1,2,,25290
R00756,WP_014233238.1,4,,16109
R00758,WP_014230741.1,1,,19661
R00760,WP_020333035.1,1,,16125
R00762,WP_020335825.1,4,,11064
R00762,WP_024372772.1,2,,11064
R00765,WP_014233442.1,6,,12172
R00768,WP_020335851.1,2,,13237
R00782,WP_020332971.1,4,,24931
R00782,WP_020335210.1,2,,24931
R00787,WP_014233998.1,1,A,24628
R00787,WP_014234175.1,2,B,24628
R00787,WP_020333805.1,2,A,24628
R00787,WP_020334835.1,1,B,24628
R00829,WP_061778630.1,1,,19481
R00832,WP_014233191.1,1,,15185
R00842,WP_020336194.1,2,,11092
R00844,WP_020336194.1,2,,11096
R00847,WP_014232826.1,4,,21644
R00848,WP_020334320.1,1,,31283
R00858,WP_020334599.1,4,,13801
R00858,WP_020334601.1,8,,13801
R00894,WP_020333954.1,1,,13285
R00899,WP_020334476.1,6,,28783
R00899,WP_020333304.1,6,,28783
R00899,WP_020333696.1,6,,28783
R00899,WP_014230936.1,6,,28783
R00907,WP_020333505.1,1,,14077
R00908,WP_014234566.1,1,,30699
R00908,WP_020335347.1,1,,30699
R00908,WP_020336394.1,1,,30699
R00908,WP_024373021.1,1,,30699
R00921,WP_014232520.1,6,,28046
R00921,WP_020335188.1,6,,28046
R00928,WP_020334788.1,1,,23520
R00931,WP_020336340.1,2,,23780
R00936,WP_014230714.1,1,,15009
R00943,WP_020334925.1,1,,20221
R00944,WP_014231166.1,6,,19833
R00944,WP_020335221.1,6,,19833
R00945,WP_014234563.1,2,,15481
R00945,WP_020333718.1,2,,15481
R00945,WP_020334946.1,2,,15481
R00946,WP_020334526.1,1,,11172
R00948,WP_014231328.1,4,,12120
R00948,WP_020334926.1,4,,12120
R00955,WP_201765964.1,2,,13989
R00955,WP_020335215.1,2,,13989
R00963,WP_020332984.1,1,,29359
R00963,WP_020333325.1,1,,29359
R00963,WP_020334911.1,1,,29359
R00963,WP_024372917.1,1,,29359
R00963,WP_024372975.1,1,,29359
R00964,WP_014232504.1,4,,16825
R00965,WP_020335616.1,2,,11596
R00966,WP_014232731.1,2,,13017
R00968,WP_014232504.1,4,,27650
R00974,WP_020334355.1,6,,20605
R00994,WP_020335844.1,2,,32715
R00996,WP_020333560.1,4,,22108
R00999,WP_020334622.1,4,,20397
R01000,WP_014233519.1,4,,36371
R01051,WP_020334736.1,2,,13697
R01054,WP_014230772.1,2,,10412
R01054,WP_020334820.1,2,,10412
R01057,WP_020334468.1,1,,18793
R01061,WP_014232584.1,4,,10300
R01061,WP_020334051.1,4,,10300
R01061,WP_020334141.1,4,,10300
R01066,WP_014232867.1,1,,12821
R01068,WP_014233018.1,2,,14729
R01070,WP_014233018.1,2,,14729
R01071,WP_014231486.1,2,,18473
R01072,WP_014232604.1,4,,14905
