Protein,Stoichiometry,Isozyme,Rhea
PN96_RS11910,6,A,24576
PN96_RS07785,2,B,24576
PN96_RS13645,2,A,25249
PN96_RS13650,2,A,25249
PN96_RS13645,2,B,25249
PN96_RS11720,2,B,25249
PN96_RS11715,2,C,25249
PN96_RS13650,2,C,25249
PN96_RS11715,2,D,25249
PN96_RS11720,2,D,25249
PN96_RS13010,8,A,24064
PN96_RS06090,60,A,20772
PN96_RS10250,60,B,20772
PN96_RS14955,24,A,11148
PN96_RS14050,1,A,13185
PN96_RS01095,2,A,14245
PN96_RS14055,1,A,15389
PN96_RS11245,2,A,13753
PN96_RS11250,2,A,13753
PN96_RS11255,2,B,13753
PN96_RS11260,2,B,13753
PN96_RS11245,2,C,13753
PN96_RS11260,2,C,13753
PN96_RS00135,2,A,11800
PN96_RS10395,6,A,18629
PN96_RS11810,1,A,24252
PN96_RS09515,1,A,12973
PN96_RS01325,1,A,18245
PN96_RS22110,1,A,10152
PN96_RS10630,4,A,25098
PN96_RS02310,6,A,24400
PN96_RS11030,1,A,17237
PN96_RS15860,2,A,10224
PN96_RS22225,2,B,10224
PN96_RS00900,4,A,21080
PN96_RS10160,1,A,20129
PN96_RS07630,1,A,29375
PN96_RS09825,1,B,29375
PN96_RS21040,1,C,29375
PN96_RS01130,1,D,29375
PN96_RS21635,1,E,29375
PN96_RS19075,2,A,21188
PN96_RS23385,2,B,21188
PN96_RS03010,2,A,16609
PN96_RS11500,1,A,25277
PN96_RS11270,2,A,17805
PN96_RS15555,1,A,19909
PN96_RS17695,2,A,11364
PN96_RS21430,2,B,11364
PN96_RS11710,4,A,18157
PN96_RS03630,4,B,18157
PN96_RS08560,2,A,11844
PN96_RS08570,1,B,11844
PN96_RS07395,4,A,12653
PN96_RS14960,8,A,18253
PN96_RS04280,2,A,19169
PN96_RS17365,2,B,19169
PN96_RS22460,2,C,19169
PN96_RS07440,1,A,13977
PN96_RS06345,1,A,23288
PN96_RS03235,1,B,23288
PN96_RS04800,1,C,23288
PN96_RS03410,6,A,19521
PN96_RS22305,6,B,19521
PN96_RS14410,1,A,23176
PN96_RS21410,1,B,23176
PN96_RS18955,1,A,21036
PN96_RS10270,4,A,14877
PN96_RS05680,4,A,15133
