Type,Metabolite,CHEBI,Protein,Stoichiometry,Isozyme
Symport,sulfate/Na,16189/29101,WP_014231749.1,1,A
Symport,sulfate/Na,16189/29101,WP_014231587.1,1,B
Symport,sulfate/Na,16189/29101,WP_020335812.1,1,C
Symport,sulfate/Na,16189/29101,WP_020335743.1,1,D
Symport,sulfate/Na,16189/29101,WP_020336191.1,1,E
Symport,sulfate/Na,16189/29101,WP_020334774.1,1,F
Symport,formate/Na,15740/29101,WP_014231749.1,1,A
Symport,formate/Na,15740/29101,WP_014231587.1,1,B
Symport,formate/Na,15740/29101,WP_020335812.1,1,C
Symport,formate/Na,15740/29101,WP_020335743.1,1,D
Symport,formate/Na,15740/29101,WP_020336191.1,1,E
Symport,formate/Na,15740/29101,WP_020334774.1,1,F
Symport,proline/Na,60039/29101,WP_020333263.1,1,A
Symport,proline/Na,60039/29101,WP_020333170.1,1,B
Symport,proline/Na,60039/29101,WP_020336141.1,1,C
Symport,proline/Na,60039/29101,WP_014230906.1,1,D
Symport,proline/Na,60039/29101,WP_014233254.1,1,E
Symport,proline/Na,60039/29101,WP_014233251.1,1,F
Symport,proline/Na,60039/29101,WP_020333510.1,1,G
Symport,proline/Na,60039/29101,WP_020335025.1,1,H
Symport,proline/Na,60039/29101,WP_020333858.1,1,I
Symport,proline/Na,60039/29101,WP_024372624.1,1,J
Symport,proline/Na,60039/29101,WP_020335962.1,1,K
Symport,acetate/Na,30089/29101,WP_014231749.1,1,A
Symport,acetate/Na,30089/29101,WP_014231587.1,1,B
Symport,acetate/Na,30089/29101,WP_020335812.1,1,C
Symport,acetate/Na,30089/29101,WP_020335743.1,1,D
Symport,acetate/Na,30089/29101,WP_020336191.1,1,E
Symport,acetate/Na,30089/29101,WP_020334774.1,1,F
Symport,acetate/Na,30089/29101,WP_014233251.1,1,G
Symport,alanine/Na,57972/29101,WP_020336373.1,1,A
Symport,alanine/Na,57972/29101,WP_020333658.1,1,B
Symport,alanine/Na,57972/29101,WP_014230840.1,1,C
Symport,alanine/Na,57972/29101,WP_231113068.1,1,D
Symport,alanine/Na,57972/29101,WP_020336373.1,1,E
Symport,alanine/Na,57972/29101,WP_020333658.1,1,F
Symport,alanine/Na,57972/29101,WP_014230840.1,1,G
Symport,alanine/Na,57972/29101,WP_231113068.1,1,G
Symport,serine/Na,33384/29101,WP_014234994.1,1,A
Symport,glycine/Na,57305/29101,WP_020336373.1,1,A
Symport,glycine/Na,57305/29101,WP_020333658.1,1,B
Symport,glycine/Na,57305/29101,WP_014230840.1,1,C
Symport,glycine/Na,57305/29101,WP_231113068.1,1,D
Symport,glutamate/Na,29985/29101,WP_024372619.1,1,A
Symport,glutamate/Na,29985/29101,WP_014232414.1,1,A
Symport,glutamate/Na,29985/29101,WP_020333103.1,1,B
Symport,glutamate/Na,29985/29101,WP_020333679.1,1,C
Symport,glutamate/Na,29985/29101,WP_014234981.1,1,D
Symport,threonine/Na,57926/29101,WP_014234994.1,1,A
Symport,leucine/Na,57427/29101,WP_014230844.1,1,A
Symport,leucine/Na,57427/29101,WP_024373025.1,1,B
Symport,isoleucine/Na,58045/29101,WP_014230844.1,1,A
Symport,isoleucine/Na,58045/29101,WP_024373025.1,1,B
Symport,valine/Na,57762/29101,WP_014230844.1,1,A
Symport,valine/Na,57762/29101,WP_024373025.1,1,B
Symport,glutamate/Na,29985/29101,WP_024372619.1,1,A
Symport,uracil/Na,17568/29101,WP_014232868.1,1,A
Symport,uracil/Na,17568/29101,WP_014231180.1,1,B
Symport,uracil/Na,17568/29101,WP_020334653.1,1,C
Symport,xanthine/Na,17712/29101,WP_014232868.1,1,A
Symport,xanthine/Na,17712/29101,WP_014231180.1,1,B
Symport,xanthine/Na,17712/29101,WP_020334653.1,1,C
Symport,guanine/Na,16235/29101,WP_014232868.1,1,A
Symport,guanine/Na,16235/29101,WP_014231180.1,1,B
Symport,guanine/Na,16235/29101,WP_020334653.1,1,C
Symport,adenine/Na,16708/29101,WP_014232868.1,1,A
Symport,adenine/Na,16708/29101,WP_014231180.1,1,B
Symport,adenine/Na,16708/29101,WP_020334653.1,1,C
Symport,asparate/Na,29991/29101,WP_014231749.1,1,A
Symport,asparate/Na,29991/29101,WP_014231587.1,1,B
Symport,asparate/Na,29991/29101,WP_020335812.1,1,C
Symport,asparate/Na,29991/29101,WP_020335743.1,1,D
Symport,asparate/Na,29991/29101,WP_020336191.1,1,E
Symport,asparate/Na,29991/29101,WP_020334774.1,1,F
Symport,malate/Na,15589/29101,WP_014231749.1,1,A
Symport,malate/Na,15589/29101,WP_014231587.1,1,B
Symport,malate/Na,15589/29101,WP_020335812.1,1,C
Symport,malate/Na,15589/29101,WP_020335743.1,1,D
Symport,malate/Na,15589/29101,WP_020336191.1,1,E
Symport,malate/Na,15589/29101,WP_020334774.1,1,F
Symport,fumarate/Na,29806/29101,WP_014231749.1,1,A
Symport,fumarate/Na,29806/29101,WP_014231587.1,1,B
Symport,fumarate/Na,29806/29101,WP_020335812.1,1,C
Symport,fumarate/Na,29806/29101,WP_020335743.1,1,D
Symport,fumarate/Na,29806/29101,WP_020336191.1,1,E
Symport,fumarate/Na,29806/29101,WP_020334774.1,1,F
Symport,succinate/Na,30031/29101,WP_014231749.1,1,A
Symport,succinate/Na,30031/29101,WP_014231587.1,1,B
Symport,succinate/Na,30031/29101,WP_020335812.1,1,C
Symport,succinate/Na,30031/29101,WP_020335743.1,1,D
