Type,Metabolite,Chebi,Protein,Stoichiometry,Isozyme,Mechanism,TCDB
Permease,ammonium,28938,PN96_RS01490,3,A,Amt,1.A.11
Permease,ammonium,28938,PN96_RS05910,3,B,Amt,1.A.11
Permease,Nitrogen,17997,PN96_RS11080,1,A,GPTS,4.A
Permease,Nitrogen,17997,PN96_RS00475,1,A,GPTS,4.A
Permease,Nitrogen,17997,PN96_RS00485,1,A,SSPTS,4.A
Permease,glycerol,17754,PN96_RS01985,1,A,MIP,1.A.8
Permease,glycerol,17754,PN96_RS03030,1,B,MIP,1.A.8
ABC,phosphate,43474,PN96_RS10760,1,A,ABC,3.A.1
ABC,phosphate,43474,PN96_RS10765,1,A,ABC,3.A.1
ABC,phosphate,43474,PN96_RS10770,1,A,ABC,3.A.1
ABC,phosphate,43474,PN96_RS15405,1,B,ABC,3.A.1
ABC,phosphate,43474,PN96_RS15410,1,B,ABC,3.A.1
ABC,phosphate,43474,PN96_RS15415,1,B,ABC,3.A.1
ABC,phosphate,43474,PN96_RS15420,1,B,ABC,3.A.1
ABC,ornithine,46911,PN96_RS08530,1,A,ABC,3.A.1
ABC,ornithine,46911,PN96_RS08535,1,A,ABC,3.A.1
ABC,ornithine,46911,PN96_RS08540,1,A,ABC,3.A.1
ABC,ornithine,46911,PN96_RS08545,1,A,ABC,3.A.1
ABC,Urea,16199,PN96_RS06285,1,A,ABC,3.A.1
ABC,Urea,16199,PN96_RS06290,1,A,ABC,3.A.1
ABC,Urea,16199,PN96_RS06295,1,A,ABC,3.A.1
ABC,Urea,16199,PN96_RS06300,1,A,ABC,3.A.1
ABC,Urea,16199,PN96_RS06305,1,A,ABC,3.A.1
ABC,heme,60344,PN96_RS02775,1,A,ABC,3.A.1
ABC,heme,60344,PN96_RS02780,1,A,ABC,3.A.1
ABC,heme,60344,PN96_RS02770,1,A,ABC,3.A.1
ABC,glucose,15903,PN96_RS09135,1,A,ABC,3.A.1
ABC,glucose,15903,PN96_RS09140,1,A,ABC,3.A.1
ABC,glucose,15903,PN96_RS09145,1,A,ABC,3.A.1
ABC,ribose,47013,PN96_RS19955,1,A,ABC,3.A.1
ABC,ribose,47013,PN96_RS19960,1,A,ABC,3.A.1
ABC,ribose,47013,PN96_RS19965,1,A,ABC,3.A.1
ABC,ribose,47013,PN96_RS16235,1,B,ABC,3.A.1
ABC,ribose,47013,PN96_RS16240,1,B,ABC,3.A.1
ABC,ribose,47013,PN96_RS16245,1,B,ABC,3.A.1
ABC,L-alanine,57972,PN96_RS05010,1,A,ABC,3.A.1
ABC,L-alanine,57972,PN96_RS05015,1,A,ABC,3.A.1
ABC,L-alanine,57972,PN96_RS05020,1,A,ABC,3.A.1
ABC,L-alanine,57972,PN96_RS05025,1,A,ABC,3.A.1
ABC,L-alanine,57972,PN96_RS05575,1,B,ABC,3.A.1
ABC,L-alanine,57972,PN96_RS05580,1,B,ABC,3.A.1
ABC,L-alanine,57972,PN96_RS05585,1,B,ABC,3.A.1
ABC,L-alanine,57972,PN96_RS05590,1,B,ABC,3.A.1
ABC,L-serine,33384,PN96_RS05010,1,A,ABC,3.A.1
ABC,L-serine,33384,PN96_RS05015,1,A,ABC,3.A.1
ABC,L-serine,33384,PN96_RS05020,1,A,ABC,3.A.1
ABC,L-serine,33384,PN96_RS05025,1,A,ABC,3.A.1
ABC,L-serine,33384,PN96_RS05575,1,B,ABC,3.A.1
ABC,L-serine,33384,PN96_RS05580,1,B,ABC,3.A.1
ABC,L-serine,33384,PN96_RS05585,1,B,ABC,3.A.1
ABC,L-serine,33384,PN96_RS05590,1,B,ABC,3.A.1
ABC,L-phenylalanine,58095,PN96_RS05010,1,A,ABC,3.A.1
ABC,L-phenylalanine,58095,PN96_RS05015,1,A,ABC,3.A.1
ABC,L-phenylalanine,58095,PN96_RS05020,1,A,ABC,3.A.1
ABC,L-phenylalanine,58095,PN96_RS05025,1,A,ABC,3.A.1
ABC,L-phenylalanine,58095,PN96_RS05575,1,B,ABC,3.A.1
ABC,L-phenylalanine,58095,PN96_RS05580,1,B,ABC,3.A.1
ABC,L-phenylalanine,58095,PN96_RS05585,1,B,ABC,3.A.1
ABC,L-phenylalanine,58095,PN96_RS05590,1,B,ABC,3.A.1
ABC,L-tyrosine,58315,PN96_RS05010,1,A,ABC,3.A.1
ABC,L-tyrosine,58315,PN96_RS05015,1,A,ABC,3.A.1
ABC,L-tyrosine,58315,PN96_RS05020,1,A,ABC,3.A.1
ABC,L-tyrosine,58315,PN96_RS05025,1,A,ABC,3.A.1
ABC,L-tyrosine,58315,PN96_RS05575,1,B,ABC,3.A.1
ABC,L-tyrosine,58315,PN96_RS05580,1,B,ABC,3.A.1
ABC,L-tyrosine,58315,PN96_RS05585,1,B,ABC,3.A.1
ABC,L-tyrosine,58315,PN96_RS05590,1,B,ABC,3.A.1
ABC,tyrosine,58315,PN96_RS03430,1,C,ABC,3.A.1
ABC,tyrosine,58315,PN96_RS03435,1,C,ABC,3.A.1
ABC,L-glutamate,29985,PN96_RS05010,1,A,ABC,3.A.1
ABC,L-glutamate,29985,PN96_RS05015,1,A,ABC,3.A.1
ABC,L-glutamate,29985,PN96_RS05020,1,A,ABC,3.A.1
ABC,L-glutamate,29985,PN96_RS05025,1,A,ABC,3.A.1
ABC,L-glutamate,29985,PN96_RS05575,1,B,ABC,3.A.1
ABC,L-glutamate,29985,PN96_RS05580,1,B,ABC,3.A.1
ABC,L-glutamate,29985,PN96_RS05585,1,B,ABC,3.A.1
ABC,L-glutamate,29985,PN96_RS05590,1,B,ABC,3.A.1
ABC,Glycine,57305,PN96_RS05010,1,A,ABC,3.A.1
ABC,Glycine,57305,PN96_RS05015,1,A,ABC,3.A.1
ABC,Glycine,57305,PN96_RS05020,1,A,ABC,3.A.1
ABC,Glycine,57305,PN96_RS05025,1,A,ABC,3.A.1
ABC,Glycine,57305,PN96_RS05575,1,B,ABC,3.A.1
ABC,Glycine,57305,PN96_RS05580,1,B,ABC,3.A.1
ABC,Glycine,57305,PN96_RS05585,1,B,ABC,3.A.1
ABC,Glycine,57305,PN96_RS05590,1,B,ABC,3.A.1
ABC,L-aspartate,29991,PN96_RS05010,1,A,ABC,3.A.1
ABC,L-aspartate,29991,PN96_RS05015,1,A,ABC,3.A.1
ABC,L-aspartate,29991,PN96_RS05020,1,A,ABC,3.A.1
ABC,L-aspartate,29991,PN96_RS05025,1,A,ABC,3.A.1
ABC,L-aspartate,29991,PN96_RS05575,1,B,ABC,3.A.1
ABC,L-aspartate,29991,PN96_RS05580,1,B,ABC,3.A.1
ABC,L-aspartate,29991,PN96_RS05585,1,B,ABC,3.A.1
ABC,L-aspartate,29991,PN96_RS05590,1,B,ABC,3.A.1
ABC,L-lysine,32551,PN96_RS05010,1,A,ABC,3.A.1
ABC,L-lysine,32551,PN96_RS05015,1,A,ABC,3.A.1
ABC,L-lysine,32551,PN96_RS05020,1,A,ABC,3.A.1
ABC,L-lysine,32551,PN96_RS05025,1,A,ABC,3.A.1
ABC,L-lysine,32551,PN96_RS05575,1,B,ABC,3.A.1
ABC,L-lysine,32551,PN96_RS05580,1,B,ABC,3.A.1
ABC,L-lysine,32551,PN96_RS05585,1,B,ABC,3.A.1
ABC,L-lysine,32551,PN96_RS05590,1,B,ABC,3.A.1
ABC,L-methionine,57844,PN96_RS05010,1,A,ABC,3.A.1
ABC,L-methionine,57844,PN96_RS05015,1,A,ABC,3.A.1
ABC,L-methionine,57844,PN96_RS05020,1,A,ABC,3.A.1
ABC,L-methionine,57844,PN96_RS05025,1,A,ABC,3.A.1
ABC,L-methionine,57844,PN96_RS05575,1,B,ABC,3.A.1
ABC,L-methionine,57844,PN96_RS05580,1,B,ABC,3.A.1
ABC,L-methionine,57844,PN96_RS05585,1,B,ABC,3.A.1
ABC,L-methionine,57844,PN96_RS05590,1,B,ABC,3.A.1
