bigg_id,rhea
DM_4crsol_c,35071
DM_4crsol_c,35072
DM_4crsol_c,35073
DM_4crsol_c,35074
EX_3hpp_e,34951
EX_3hpp_e,34952
EX_3hpp_e,34953
EX_3hpp_e,34954
EX_LalaDglu_e,35127
EX_LalaDglu_e,35128
EX_LalaDglu_e,35129
EX_LalaDglu_e,35130
EX_arbt_e,35023
EX_arbt_e,35024
EX_arbt_e,35025
EX_arbt_e,35026
EX_btn_e,28458
EX_btn_e,28459
EX_btn_e,28460
EX_btn_e,28461
EX_ca2_e,29671
EX_ca2_e,29672
EX_ca2_e,29673
EX_ca2_e,29674
EX_cl_e,29823
EX_cl_e,29824
EX_cl_e,29825
EX_cl_e,29826
EX_crn__D_e,35067
EX_crn__D_e,35068
EX_crn__D_e,35069
EX_crn__D_e,35070
EX_cu2_e,28703
EX_cu2_e,28704
EX_cu2_e,28705
EX_cu2_e,28706
EX_cys__L_e,29655
EX_cys__L_e,29656
EX_cys__L_e,29657
EX_cys__L_e,29658
EX_dmso_e,29699
EX_dmso_e,29700
EX_dmso_e,29701
EX_dmso_e,29702
EX_doxrbcn_e,35079
EX_doxrbcn_e,35080
EX_doxrbcn_e,35081
EX_doxrbcn_e,35082
EX_fe2_e,28486
EX_fe2_e,28487
EX_fe2_e,28488
EX_fe2_e,28489
EX_fe3_e,34971
EX_fe3_e,34972
EX_fe3_e,34973
EX_fe3_e,34974
EX_frulys_e,28454
EX_frulys_e,28455
EX_frulys_e,28456
EX_frulys_e,28457
EX_g3pc_e,32911
EX_g3pc_e,32912
EX_g3pc_e,32913
EX_g3pc_e,32914
EX_gal_e,34915
EX_gal_e,34916
EX_gal_e,34917
EX_gal_e,34918
EX_galct__D_e,28478
EX_galct__D_e,28479
EX_galct__D_e,28480
EX_galct__D_e,28481
EX_gbbtn_e,32835
EX_gbbtn_e,32836
EX_gbbtn_e,32837
EX_gbbtn_e,32838
EX_glcr_e,28474
EX_glcr_e,28475
EX_glcr_e,28476
EX_glcr_e,28477
EX_glyc3p_e,34967
EX_glyc3p_e,34968
EX_glyc3p_e,34969
EX_glyc3p_e,34970
EX_hdca_e,45256
EX_hdca_e,45257
EX_hdca_e,45258
EX_hdca_e,45259
EX_inost_e,32867
EX_inost_e,32868
EX_inost_e,32869
EX_inost_e,32870
EX_k_e,29463
EX_k_e,29464
EX_k_e,29465
EX_k_e,29466
EX_lac__L_e,34987
EX_lac__L_e,34988
EX_lac__L_e,34989
EX_lac__L_e,34990
EX_lipoate_e,29755
EX_lipoate_e,29756
EX_lipoate_e,29757
EX_lipoate_e,29758
EX_na1_e,34963
EX_na1_e,34964
EX_na1_e,34965
EX_na1_e,34966
EX_no2_e,28983
EX_no2_e,28984
EX_no2_e,28985
EX_no2_e,28986
EX_no3_e,34923
EX_no3_e,34924
EX_no3_e,34925
EX_no3_e,34926
EX_ocdcea_e,33655
EX_ocdcea_e,33656
EX_ocdcea_e,33657
EX_ocdcea_e,33658
EX_pnto__R_e,34975
EX_pnto__R_e,34976
EX_pnto__R_e,34977
EX_pnto__R_e,34978
EX_pppn_e,29747
EX_pppn_e,29748
EX_pppn_e,29749
EX_pppn_e,29750
EX_pydam_e,28466
EX_pydam_e,28467
EX_pydam_e,28468
EX_pydam_e,28469
EX_pydx_e,28462
EX_pydx_e,28463
EX_pydx_e,28464
EX_pydx_e,28465
EX_rmn_e,34995
EX_rmn_e,34996
EX_rmn_e,34997
EX_rmn_e,34998
EX_sel_e,34887
EX_sel_e,34888
EX_sel_e,34889
EX_sel_e,34890
EX_ser__D_e,29455
EX_ser__D_e,29456
EX_ser__D_e,29457
EX_ser__D_e,29458
EX_so4_e,34983
EX_so4_e,34984
EX_so4_e,34985
EX_so4_e,34986
EX_spmd_e,35039
EX_spmd_e,35040
EX_spmd_e,35041
EX_spmd_e,35042
EX_thr__L_e,35019
EX_thr__L_e,35020
EX_thr__L_e,35021
EX_thr__L_e,35022
EX_ttrcyc_e,35239
EX_ttrcyc_e,35240
EX_ttrcyc_e,35241
EX_ttrcyc_e,35242
EX_urea_e,32799
EX_urea_e,32800
EX_urea_e,32801
EX_urea_e,32802
EX_val__L_e,29703
EX_val__L_e,29704
EX_val__L_e,29705
EX_val__L_e,29706
EX_zn2_e,29351
EX_zn2_e,29352
EX_zn2_e,29353
EX_zn2_e,29354
23PDE2pp,27878
23PDE2pp,27879
23PDE2pp,27880
23PDE2pp,27881
23PDE9pp,27858
23PDE9pp,27859
23PDE9pp,27860
23PDE9pp,27861
3HPPtex,34951
3HPPtex,34952
3HPPtex,34953
3HPPtex,34954
3KGK,28222
3KGK,28223
3KGK,28224
3KGK,28225
3NTD2pp,27890
3NTD2pp,27891
3NTD2pp,27892
3NTD2pp,27893
3NTD9pp,27862
3NTD9pp,27863
3NTD9pp,27864
3NTD9pp,27865
4HTHRS,30659
4HTHRS,30660
4HTHRS,30661
4HTHRS,30662
5DGLCNt2rpp,28819
5DGLCNt2rpp,28820
5DGLCNt2rpp,28821
5DGLCNt2rpp,28822
5DOAN,29859
5DOAN,29860
5DOAN,29861
5DOAN,29862
5MTRtex,34955
5MTRtex,34956
5MTRtex,34957
5MTRtex,34958
A5PISO,23104
A5PISO,23105
A5PISO,23106
A5PISO,23107
ABTA,23352
ABTA,23353
ABTA,23354
ABTA,23355
ABUTt2pp,28915
ABUTt2pp,28916
ABUTt2pp,28917
ABUTt2pp,28918
ACACT2r,31111
ACACT2r,31112
ACACT2r,31113
ACACT2r,31114
ACACT4r,31087
ACACT4r,31088
ACACT4r,31089
ACACT4r,31090
ACACtex,29751
ACACtex,29752
ACACtex,29753
ACACtex,29754
ACBIPGT,22712
ACBIPGT,22713
ACBIPGT,22714
ACBIPGT,22715
ACGS,24292
ACGS,24293
ACGS,24294
ACGS,24295
ACLS,25249
ACLS,25250
ACLS,25251
ACLS,25252
ACMAMUT,28366
ACMAMUT,28367
