ec,rhea
3.5.1.50,10000
3.5.1.50,10001
3.5.1.50,10002
3.5.1.50,10003
5.99.1.1,10004
5.99.1.1,10005
5.99.1.1,10006
5.99.1.1,10007
1.5.3.6,10012
1.5.3.6,10013
1.5.3.6,10014
1.5.3.6,10015
3.1.1.49,10016
3.1.1.49,10017
3.1.1.49,10018
3.1.1.49,10019
1.5.1.10,10020
1.5.1.10,10021
1.5.1.10,10022
1.5.1.10,10023
1.4.3.15,10028
1.4.3.15,10029
1.4.3.15,10030
1.4.3.15,10031
1.4.3.15,12512
1.4.3.15,12513
1.4.3.15,12514
1.4.3.15,12515
1.4.3.7,10028
1.4.3.7,10029
1.4.3.7,10030
1.4.3.7,10031
3.5.1.43,10032
3.5.1.43,10033
3.5.1.43,10034
3.5.1.43,10035
1.1.3.38,10036
1.1.3.38,10037
1.1.3.38,10038
1.1.3.38,10039
3.1.3.7,10040
3.1.3.7,10041
3.1.3.7,10042
3.1.3.7,10043
3.1.3.7,77639
3.1.3.7,77640
3.1.3.7,77641
3.1.3.7,77642
3.1.3.7,77643
3.1.3.7,77644
3.1.3.7,77645
3.1.3.7,77646
1.1.1.245,10044
1.1.1.245,10045
1.1.1.245,10046
1.1.1.245,10047
2.5.1.49,10048
2.5.1.49,10049
2.5.1.49,10050
2.5.1.49,10051
2.5.1.49,27822
2.5.1.49,27823
2.5.1.49,27824
2.5.1.49,27825
1.1.1.345,10052
1.1.1.345,10053
1.1.1.345,10054
1.1.1.345,10055
1.1.1.345,35643
1.1.1.345,35644
1.1.1.345,35645
1.1.1.345,35646
4.3.1.14,10056
4.3.1.14,10057
4.3.1.14,10058
4.3.1.14,10059
2.3.1.34,10060
2.3.1.34,10061
2.3.1.34,10062
2.3.1.34,10063
2.1.2.7,10064
2.1.2.7,10065
2.1.2.7,10066
2.1.2.7,10067
2.4.1.53,10068
2.4.1.53,10069
2.4.1.53,10070
2.4.1.53,10071
2.1.1.161,10072
2.1.1.161,10073
2.1.1.161,10074
2.1.1.161,10075
3.2.1.108,10076
3.2.1.108,10077
3.2.1.108,10078
3.2.1.108,10079
1.3.1.57,10080
1.3.1.57,10081
