rhea,kegg
10000,R02938
10001,R02938
10002,R02938
10003,R02938
10004,R04010
10005,R04010
10006,R04010
10007,R04010
10012,R07170
10013,R07170
10014,R07170
10015,R07170
10016,R02381
10017,R02381
10018,R02381
10019,R02381
10020,R02315
10021,R02315
10022,R02315
10023,R02315
10024,R03938
10025,R03938
10026,R03938
10027,R03938
51736,R03875
51737,R03875
51738,R03875
51739,R03875
10028,R00279
10029,R00279
10030,R00279
10031,R00279
21816,R01340
21817,R01340
21818,R01340
21819,R01340
10032,R04341
10033,R04341
10034,R04341
10035,R04341
10036,R02877
10037,R02877
10038,R02877
10039,R02877
10040,R00188
10041,R00188
10042,R00188
10043,R00188
43532,R11188
43533,R11188
43534,R11188
43535,R11188
10044,R02229
10045,R02229
10046,R02229
10047,R02229
10740,R00624
10741,R00624
10742,R00624
10743,R00624
10048,R00651
10049,R00651
10050,R00651
10051,R00651
10056,R03030
10057,R03030
10058,R03030
10059,R03030
10060,R02481
10061,R02481
10062,R02481
10063,R02481
20704,R02191
20705,R02191
20706,R02191
20707,R02191
10064,R01225
10065,R01225
10066,R01225
10067,R01225
10068,R12036
10069,R12036
10070,R12036
10071,R12036
10072,R07244
10073,R07244
10074,R07244
10075,R07244
10076,R01100
10077,R01100
10078,R01100
10079,R01100
10080,R05308
10081,R05308
10082,R05308
10083,R05308
10084,R01631
10085,R01631
10086,R01631
10087,R01631
10088,R00809
10089,R00809
10090,R00809
10091,R00809
10092,R02751
10093,R02751
10094,R02751
10095,R02751
15017,R00626
15018,R00626
15019,R00626
15020,R00626
10096,R08940
10097,R08940
10098,R08940
10099,R08940
10100,R02115
10101,R02115
10102,R02115
10103,R02115
10104,R03009
10105,R03009
10106,R03009
10107,R03009
10108,R04697
10109,R04697
10110,R04697
10111,R04697
10112,R01290
10113,R01290
10114,R01290
10115,R01290
10116,R01528
10117,R01528
10118,R01528
10119,R01528
10124,R07201
10125,R07201
10126,R07201
10127,R07201
10128,R06948
10129,R06948
10130,R06948
10131,R06948
10132,R01422
10133,R01422
10134,R01422
10135,R01422
10136,R00013
10137,R00013
10138,R00013
10139,R00013
11628,R00636
11629,R00636
11630,R00636
11631,R00636
10140,R02684
10141,R02684
10142,R02684
10143,R02684
19257,R03557
19258,R03557
19259,R03557
19260,R03557
10144,R03060
10145,R03060
10146,R03060
10147,R03060
10148,R03800
10149,R03800
10150,R03800
10151,R03800
10152,R00150
10153,R00150
10154,R00150
10155,R00150
10156,R04708
10157,R04708
10158,R04708
10159,R04708
10160,R07145
10161,R07145
10162,R07145
10163,R07145
10164,R00658
10165,R00658
10166,R00658
10167,R00658
10168,R05818
10169,R05818
10170,R05818
10171,R05818
10172,R00048
10173,R00048
10174,R00048
10175,R00048
10176,R11336
10177,R11336
10178,R11336
10179,R11336
34555,R10189
34556,R10189
34557,R10189
34558,R10189
10180,R00941
10181,R00941
10182,R00941
10183,R00941
10184,R02991
10185,R02991
10186,R02991
10187,R02991
10188,R01978
10189,R01978
10190,R01978
10191,R01978
10196,R04031
10197,R04031
10198,R04031
10199,R04031
10200,R01689
10201,R01689
10202,R01689
10203,R01689
10204,R01588
10205,R01588
10206,R01588
10207,R01588
10208,R03862
10209,R03862
10210,R03862
10211,R03862
10212,R02274
10213,R02274
10214,R02274
10215,R02274
10216,R04358
10217,R04358
10218,R04358
10219,R04358
10220,R02918
10221,R02918
10222,R02918
10223,R02918
10224,R00174
10225,R00174
10226,R00174
10227,R00174
10228,R01325
10229,R01325
10230,R01325
10231,R01325
10232,R04346
10233,R04346
10234,R04346
10235,R04346
10236,R03710
10237,R03710
10238,R03710
10239,R03710
10240,R01403
10241,R01403
10242,R01403
10243,R01403
10244,R01364
10245,R01364
10246,R01364
10247,R01364
10248,R02100
10249,R02100
10250,R02100
10251,R02100
10252,R07274
10253,R07274
10254,R07274
10255,R07274
10264,R01602
10265,R01602
10266,R01602
10267,R01602
10268,R03277
10269,R03277
10270,R03277
10271,R03277
10272,R02240
10273,R02240
10274,R02240
10275,R02240
10276,R08964
10277,R08964
10278,R08964
10279,R08964
10280,R07921
10281,R07921
10282,R07921
10283,R07921
10284,R01091
10285,R01091
