Metabolite;KeGG
glu__L_e;C00025
glu__L_e;C00302
pheme_e;C00032
akg_e;C00026
cgly_e;C01419
23camp_e;C02353
imp_e;C00130
dimp_e;C06196
metsox_S__L_e;C02989
gal1p_e;C00446
4abut_e;C00334
ile__L_e;C00407
phe__L_e;C00079
glyc_e;C00116
fe2_e;C14818
man6p_e;C00275
tsul_e;C00320
trp__L_e;C00078
met__L_e;C00073
lys__L_e;C00047
ocdca_e;C01530
ade_e;C00147
hxan_e;C00262
fald_e;C00067
pro__L_e;C00148
indole_e;C00463
asn__L_e;C00152
gbbtn_e;C01181
3hcinnm_e;C12621
ac_e;C00033
gly_e;C00037
spmd_e;C00315
rib__D_e;C00121
adn_e;C00212
xylu__L_e;C00312
damp_e;C00360
meoh_e;C00132
so4_e;C00059
cyan_e;C00177
isetac_e;C05123
ala__D_e;C00133
urate_e;C00366
thr__L_e;C00188
gln__L_e;C00064
dgmp_e;C00362
3cmp_e;C05822
cytd_e;C00475
g6p_e;C00092
fum_e;C00122
csn_e;C00380
ser__D_e;C00740
pnto__R_e;C00864
no2_e;C00088
acac_e;C00164
dump_e;C00365
h2o2_e;C00027
pydam_e;C00534
3ump_e;C01368
rmn_e;C00507
gmp_e;C00144
glyclt_e;C00160
duri_e;C00526
gtp_e;C00044
tcynt_e;C01755
gsn_e;C00387
lac__D_e;C00256
23ccmp_e;C02354
glyc3p_e;C00093
uri_e;C00299
so3_e;C00094
dgsn_e;C00330
xtsn_e;C01762
hdca_e;C00249
cit_e;C00158
nac_e;C00253
pppn_e;C05629
23cgmp_e;C06194
5mtr_e;C03089
asp__L_e;C00049
for_e;C00058
fmn_e;C00061
26dap__M_e;C00680
lac__L_e;C00186
dad_2_e;C00559
hom__L_e;C00263
arg__L_e;C00062
malt_e;C00208
cbl1_e;C00853
udpgal_e;C00052
amp_e;C00020
urea_e;C00086
gam6p_e;C00352
gthrd_e;C00051
adocbl_e;C00194
glyald_e;C00577
ala__L_e;C00041
acgam_e;C00140
tyr__L_e;C00082
xmp_e;C00655
gua_e;C00242
g1p_e;C00103
o2_e;C00007
pydxn_e;C00314
ins_e;C00294
cobalt2_e;C00175
cys__L_e;C00097
pi_e;C00009
cmp_e;C00055
2ddglcn_e;C00204
3hpppn_e;C11457
pydx_e;C00250
uacgam_e;C00043
ura_e;C00106
23cump_e;C02355
xan_e;C00385
acald_e;C00084
dtmp_e;C00364
dcyt_e;C00881
chol_e;C00114
nh4_e;C00014
glyb_e;C00719
ump_e;C00105
fe3_e;C14819
3gmp_e;C06193
orn_e;C00077
o2s_e;C00704
ala_B_e;C00099
mobd_e;C06232
taur_e;C00245
sucr_e;C00089
h2s_e;C00283
dcmp_e;C00239
etoh_e;C00469
btn_e;C00120
ptrc_e;C00134
alaala_e;C00993
val__L_e;C00183
orot_e;C00295
glyc__R_e;C00258
ser__L_e;C00065
no3_e;C00244
nmn_e;C00455
octa_e;C06423
skm_e;C00493
din_e;C05512
gdp_e;C00035
pser__L_e;C01005
mnl_e;C00392
lcts_e;C00243
udpg_e;C00029
h2_e;C00282
glc__D_e;C00031
3amp_e;C01367
etha_e;C00189
glcn_e;C00257
thym_e;C00178
gam_e;C00329
fru_e;C00095
succ_e;C00042
co2_e;C00011
h_e;C00080
gal_e;C00984
gal_e;C00124
fad_e;C00016
thymd_e;C00214
agm_e;C00179
mal__L_e;C00149
pyr_e;C00022
udpglcur_e;C00167
f6p_e;C05345
sel_e;C05697
his__L_e;C00135
acser_e;C00979
leu__L_e;C00123
h2o_e;C00001
