rid,Name,Stoichiometry,dG,EC
R03857,"lauroyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase",FAD + Lauroyl-CoA -> 2-trans-Dodecenoyl-CoA + FADH2,40.6975234819663,1.3.3.6/1.3.8.7/1.3.8.8/1.3.99.-
EX_C00016,FAD,FAD <-> ,,
R02521,"4-hydroxyphenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)",Oxygen + 3-(4-Hydroxyphenyl)pyruvate -> CO2 + Homogentisate,-549.4319714150128,1.13.11.27
R01876,uridine:phosphate alpha-D-ribosyltransferase,Uridine + Orthophosphate <-> Uracil + alpha-D-Ribose 1-phosphate,1.172036250740348,2.4.2.2/2.4.2.3
R02331,ATP:dUDP phosphotransferase,dUDP + ATP <-> dUTP + ADP,-1.5518068352388354,2.7.4.6
R09763,CMP-3-deoxy-D-manno-oct-2-ulosonate:(KDO)2-lipid IVA 3-deoxy-D-manno-oct-2-ulosonate transferase [(2->8) glycosidic bond-forming],KDO2-lipid IVA + CMP-3-deoxy-D-manno-octulosonate -> alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA + CMP,-265.5630731830221,2.4.99.14
R02433,L-cysteate:2-oxoglutarate aminotransferase,L-Cysteate + 2-Oxoglutarate <-> 3-Sulfopyruvate + L-Glutamate,-9.102847065159892,2.6.1.1
R05049,N-succinyl-L-glutamate 5-semialdehyde:NAD+ oxidoreductase,N-Succinyl-L-glutamate 5-semialdehyde + NAD+ + H2O -> H+ + N-Succinyl-L-glutamate + NADH,-47.28854594696509,1.2.1.71
R10908,(S)-ureidoglycine:glyoxylate aminotransferase,(S)-Ureidoglycine + Glyoxylate -> Oxalureate + Glycine,-86.61147623038678,2.6.1.112
R00750,4-hydroxy-2-oxopentanoate pyruvate-lyase (acetaldehyde-forming),Pyruvate + Acetaldehyde <-> 4-Hydroxy-2-oxopentanoate,5.394999984431621,4.1.3.39
R02519,"homogentisate:oxygen 1,2-oxidoreductase (decyclizing)",Oxygen + Homogentisate -> 4-Maleylacetoacetate,-246.77808544548313,1.13.11.5
R01388,D-glycerate:NAD+ 2-oxidoreductase,NAD+ + D-Glycerate <- Hydroxypyruvate + H+ + NADH,28.18087003233677,1.1.1.26/1.1.1.29/1.1.1.81
R04945,O-acetylhomoserine succinate-lyase (adding cysteine),O-Acetyl-L-homoserine + L-Selenocysteine -> Acetate + L-Selenocystathionine,-44.42236220844836,2.5.1.48
R02788,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-2,6-diaminoheptanedioate gamma-ligase (ADP-forming)","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate + ATP + meso-2,6-Diaminoheptanedioate -> ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate",-24.393653657315554,6.3.2.13
