Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP009977.1	55	1608	1	plus	16S ribosomal RNA		70911155	rRNA						PN96_RS00005
NZ_CP009977.1	1700	1775	1	plus	tRNA-Glu		70911156	tRNA						PN96_RS00010
NZ_CP009977.1	1778	1853	1	plus	tRNA-Lys		70911157	tRNA						PN96_RS00015
NZ_CP009977.1	1884	1959	1	plus	tRNA-Val		70911158	tRNA						PN96_RS00020
NZ_CP009977.1	2323	5212	1	plus	23S ribosomal RNA		70911159	rRNA						PN96_RS00025
NZ_CP009977.1	5324	5440	1	plus	5S ribosomal RNA	rrf	70911160	rRNA						PN96_RS00030
NZ_CP009977.1	5484	5560	1	plus	tRNA-Asp		70911161	tRNA						PN96_RS00035
NZ_CP009977.1	6014	7354	1	minus	CDP-diacylglycerol--serine O-phosphatidyltransferase	pssA	70911162	protein-coding			WP_020334021.1	CDP-diacylglycerol--serine O-phosphatidyltransferase	446	PN96_RS00040
NZ_CP009977.1	7450	7857	1	minus	GNAT family N-acetyltransferase		70911163	protein-coding			WP_029791383.1	GNAT family N-acetyltransferase	135	PN96_RS00045
NZ_CP009977.1	7958	9001	1	plus	UDP-N-acetylmuramate dehydrogenase	murB	70911164	protein-coding			WP_020334019.1	UDP-N-acetylmuramate dehydrogenase	347	PN96_RS00050
NZ_CP009977.1	8998	9963	1	plus	bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA	birA	70911165	protein-coding			WP_020334018.1	bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA	321	PN96_RS00055
NZ_CP009977.1	9973	10896	1	minus	type I pantothenate kinase	coaA	70911166	protein-coding			WP_020334016.1	type I pantothenate kinase	307	PN96_RS00060
NZ_CP009977.1	11103	11178	1	plus	tRNA-Thr		70911167	tRNA						PN96_RS00065
