Protein,KO,Description
PN96_RS19480,K02596,nifX; nitrogen fixation protein NifX
PN96_RS20390,K03547,"sbcD, mre11; DNA repair protein SbcD/Mre11"
PN96_RS22025,,
PN96_RS21005,,
PN96_RS15200,K20988,vpsN; polysaccharide biosynthesis/export protein VpsN
PN96_RS15930,K25282,"yclQ, ceuA; iron-siderophore transport system substrate-binding protein"
PN96_RS12915,,
PN96_RS06900,K05526,astE; succinylglutamate desuccinylase [EC:3.5.1.96]
PN96_RS10025,,
PN96_RS21040,K01081,E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]
PN96_RS16450,K12541,"lapB; ATP-binding cassette, subfamily C, bacterial LapB"
PN96_RS02510,K03548,perM; putative permease
PN96_RS04345,,
PN96_RS22115,,
PN96_RS20665,,
PN96_RS13870,K01262,pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]
PN96_RS22700,K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
PN96_RS23535,K00832,tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
PN96_RS00130,K07740,rsd; regulator of sigma D
PN96_RS05110,,
PN96_RS15265,K00020,"HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"
PN96_RS03525,K25422,yceF; 7-methyl-GTP pyrophosphatase [EC:3.6.1.-]
PN96_RS23835,,
PN96_RS21350,,
PN96_RS23105,,
PN96_RS02540,,
PN96_RS21380,,
PN96_RS03335,K10912,"luxO; two-component system, repressor protein LuxO"
PN96_RS04090,,
PN96_RS17295,,
PN96_RS02955,K00133,asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
PN96_RS06635,,
PN96_RS11895,K03186,"ubiX, bsdB, PAD1; flavin prenyltransferase [EC:2.5.1.129]"
PN96_RS18420,,
PN96_RS11510,K01515,nudF; ADP-ribose diphosphatase [EC:3.6.1.13 3.6.1.-]
PN96_RS10495,,
PN96_RS19645,K03613,rnfE; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E
PN96_RS02210,K03308,"TC.NSS; neurotransmitter:Na+ symporter, NSS family"
PN96_RS04075,K13747,nspC; carboxynorspermidine decarboxylase [EC:4.1.1.96]
PN96_RS15830,K08974,K08974; putative membrane protein
PN96_RS13885,,
PN96_RS19150,K03521,"fixA, etfB; electron transfer flavoprotein beta subunit"
PN96_RS13525,K08998,K08998; uncharacterized protein
PN96_RS08890,,
PN96_RS05770,,
PN96_RS15095,K02686,priB; primosomal replication protein N
PN96_RS08640,K09808,lolC_E; lipoprotein-releasing system permease protein
PN96_RS04175,K01069,"gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]"
PN96_RS20945,K10804,tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]
PN96_RS06060,K13695,nlpC; probable lipoprotein NlpC
PN96_RS06070,,
PN96_RS18615,K05783,benD-xylL; dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-]
PN96_RS06600,,
PN96_RS18855,,
PN96_RS19385,,
PN96_RS04565,,
PN96_RS05515,K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]
PN96_RS10120,K02071,metN; D-methionine transport system ATP-binding protein
PN96_RS02695,K02420,fliQ; flagellar biosynthesis protein FliQ
PN96_RS13160,,
PN96_RS06505,,
PN96_RS03775,,
PN96_RS08625,K09928,K09928; uncharacterized protein
PN96_RS05645,,
PN96_RS00850,K02669,pilT; twitching motility protein PilT
PN96_RS06235,,
PN96_RS11520,K03272,"gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]"
PN96_RS12815,K01082,"cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]"
PN96_RS07135,,
PN96_RS16090,,
PN96_RS19460,,
PN96_RS00585,K00611,"OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]"
PN96_RS12295,,
PN96_RS13480,K02470,gyrB; DNA gyrase subunit B [EC:5.6.2.2]
PN96_RS00305,K03111,ssb; single-strand DNA-binding protein
PN96_RS16015,K00799,"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
PN96_RS21570,,
PN96_RS12060,K02919,"RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36"
PN96_RS18555,K02624,"pcaR; IclR family transcriptional regulator, pca regulon regulatory protein"
PN96_RS16530,K02003,ABC.CD.A; putative ABC transport system ATP-binding protein
PN96_RS09405,K00239,"sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]"
PN96_RS02865,K08296,sixA; phosphohistidine phosphatase [EC:3.1.3.-]
PN96_RS07610,K02483,"K02483; two-component system, OmpR family, response regulator"
PN96_RS02650,K02411,fliH; flagellar assembly protein FliH
PN96_RS19255,,
PN96_RS19720,K01223,"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
PN96_RS22860,,
PN96_RS01925,,
PN96_RS12650,,
PN96_RS10770,K02037,pstC; phosphate transport system permease protein
PN96_RS16040,,
PN96_RS17385,,
PN96_RS20600,K00363,nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
PN96_RS17955,,
PN96_RS22560,,
PN96_RS08805,,
PN96_RS15510,K03825,aaaT; L-phenylalanine/L-methionine N-acetyltransferase [EC:2.3.1.53 2.3.1.-]
PN96_RS15665,,
PN96_RS15165,K00380,cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
