Query ID	Predicted EC number
tr|A0A1B1E887|A0A1B1E887_VIBNA	EC:5.3.3.8
tr|A0A1B1E887|A0A1B1E887_VIBNA	EC:5.1.2.3
tr|A0A1B1E887|A0A1B1E887_VIBNA	EC:1.1.1.35
tr|A0A1B1E887|A0A1B1E887_VIBNA	EC:4.2.1.17
tr|A0A1B1E905|A0A1B1E905_VIBNA	EC:6.3.2.5
tr|A0A1B1E9H9|A0A1B1E9H9_VIBNA	EC:2.7.1.167
tr|A0A1B1E9H9|A0A1B1E9H9_VIBNA	EC:2.7.7.70
tr|A0A1B1E9I1|A0A1B1E9I1_VIBNA	EC:6.3.2.13
tr|A0A1B1E9W8|A0A1B1E9W8_VIBNA	EC:2.1.1.192
tr|A0A1B1EA25|A0A1B1EA25_VIBNA	EC:2.4.2.22
tr|A0A1B1EA46|A0A1B1EA46_VIBNA	EC:2.8.1.4
tr|A0A1B1EA88|A0A1B1EA88_VIBNA	EC:2.7.6.1
tr|A0A1B1EDS3|A0A1B1EDS3_VIBNA	EC:1.2.1.11
tr|A0A1B1EDU6|A0A1B1EDU6_VIBNA	EC:1.2.1.11
tr|A0A1B1EDY0|A0A1B1EDY0_VIBNA	EC:1.1.1.35
tr|A0A1B1EDY0|A0A1B1EDY0_VIBNA	EC:4.2.1.17
tr|A0A1B1EDY0|A0A1B1EDY0_VIBNA	EC:5.1.2.3
tr|A0A1B1EEM2|A0A1B1EEM2_VIBNA	EC:3.6.4.3
tr|A0A1B1EF11|A0A1B1EF11_VIBNA	EC:3.6.1.66
tr|A0A1B1EF87|A0A1B1EF87_VIBNA	EC:6.3.4.2
tr|A0A1B1EFJ7|A0A1B1EFJ7_VIBNA	EC:1.14.12.17
tr|A0A1B1EFN6|A0A1B1EFN6_VIBNA	EC:2.7.1.11
tr|A0A1B1EG51|A0A1B1EG51_VIBNA	EC:2.3.1.157
tr|A0A1B1EG51|A0A1B1EG51_VIBNA	EC:2.7.7.23
tr|A0A1B1EGV2|A0A1B1EGV2_VIBNA	EC:4.2.1.136
tr|A0A1B1EGV2|A0A1B1EGV2_VIBNA	EC:5.1.99.6
tr|A0A1B1EHW8|A0A1B1EHW8_VIBNA	EC:2.4.2.1
tr|A0A1B1EHW8|A0A1B1EHW8_VIBNA	EC:2.4.2.4
tr|A0A1B1EHW8|A0A1B1EHW8_VIBNA	EC:2.4.2.2
tr|A0A1B1EHW8|A0A1B1EHW8_VIBNA	EC:2.4.2.15
tr|A0A1B1EHW8|A0A1B1EHW8_VIBNA	EC:2.4.2.3
