Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
CP009977.1	55	1617	1	plus	16S ribosomal RNA			rRNA						PN96_00005
CP009977.1	1700	1775	1	plus	tRNA-Glu			tRNA						PN96_00010
CP009977.1	1778	1853	1	plus	tRNA-Lys			tRNA						PN96_00015
CP009977.1	1884	1959	1	plus	tRNA-Val			tRNA						PN96_00020
CP009977.1	2316	5230	1	plus	23S ribosomal RNA			rRNA						PN96_00025
CP009977.1	5324	5440	1	plus	5S ribosomal RNA			rRNA						PN96_00030
CP009977.1	5484	5560	1	plus	tRNA-Asp			tRNA						PN96_00035
CP009977.1	6014	7354	1	minus	phosphatidylserine synthase	pssA		protein-coding			ALR14475.1	phosphatidylserine synthase	446	PN96_00040
CP009977.1	7450	7857	1	minus	acyltransferase			protein-coding			ALR14476.1	acyltransferase	135	PN96_00045
CP009977.1	7958	9001	1	plus	UDP-N-acetylenolpyruvoylglucosamine reductase			protein-coding			ALR14477.1	UDP-N-acetylenolpyruvoylglucosamine reductase	347	PN96_00050
CP009977.1	8998	9963	1	plus	biotin--[acetyl-CoA-carboxylase] synthetase			protein-coding			ALR14478.1	biotin--[acetyl-CoA-carboxylase] synthetase	321	PN96_00055
CP009977.1	9973	10896	1	minus	pantothenate kinase			protein-coding			ALR14479.1	pantothenate kinase	307	PN96_00060
CP009977.1	11103	11178	1	plus	tRNA-Thr			tRNA						PN96_00065
CP009977.1	11232	11316	1	plus	tRNA-Tyr			tRNA						PN96_00070
CP009977.1	11352	11426	1	plus	tRNA-Gly			tRNA						PN96_00075
CP009977.1	11440	11515	1	plus	tRNA-Thr			tRNA						PN96_00080
CP009977.1	11619	12803	1	plus	elongation factor Tu	tuf		protein-coding			ALR14480.1	elongation factor Tu	394	PN96_00085
CP009977.1	13072	13452	1	plus	preprotein translocase subunit SecE			protein-coding			ALR14481.1	preprotein translocase subunit SecE	126	PN96_00090
CP009977.1	13466	14014	1	plus	transcription antiterminator NusG	nusG		protein-coding			ALR14482.1	transcription antiterminator NusG	182	PN96_00095
