Protein,MW,Length
WP_020334021.1,51.23068023999986,446
WP_029791383.1,15.344949540000014,135
WP_020334019.1,38.49176713999997,347
WP_020334018.1,35.543844739999955,321
WP_020334016.1,35.24326103999998,307
WP_014233170.1,43.092015839999945,394
WP_020334711.1,13.195642840000017,126
WP_005384681.1,20.708627140000008,182
WP_008078231.1,14.789155740000004,142
WP_014233286.1,24.73550664000002,233
WP_020334710.1,17.592130240000007,164
WP_014233284.1,12.147894940000004,122
WP_020334708.1,149.62703274000089,1342
WP_014233282.1,154.64272444000105,1400
WP_020334706.1,18.711150040000007,163
WP_020334705.1,29.878211239999995,264
WP_020334704.1,39.27922393999995,355
WP_020334703.1,21.673993940000006,190
WP_020334702.1,34.84573724000001,307
WP_014233276.1,22.60868704,195
WP_020334701.1,41.79510733999999,375
WP_005433627.1,9.464809440000003,90
WP_020334700.1,26.481819740000002,232
WP_014233273.1,45.55457333999994,429
WP_020334699.1,57.495987539999945,530
WP_014233270.1,14.778032940000008,132
WP_020334697.1,57.23867303999993,508
WP_024372849.1,50.14727133999989,452
WP_020334526.1,136.64552504000068,1226
WP_020334525.1,48.70231333999991,450
WP_020334524.1,40.70965483999997,373
WP_024372850.1,67.23875933999983,592
WP_020334520.1,103.8832499400004,940
WP_014233119.1,32.38132704,290
WP_020334518.1,24.489488740000027,214
WP_014233117.1,19.685828540000003,179
WP_031334688.1,77.56224513999999,669
WP_020334516.1,53.83259643999986,481
WP_020334515.1,24.65026993999999,216
WP_020334514.1,12.17726384000001,110
WP_024372853.1,59.56274393999982,559
WP_020334512.1,31.651725340000016,281
WP_020334511.1,40.32287523999999,366
WP_020334510.1,64.1297238399999,574
WP_020334509.1,45.554692839999916,407
WP_020334508.1,16.997889040000015,151
WP_020334506.1,16.301297440000017,160
WP_020334505.1,8.689971339999998,76
WP_020334504.1,17.420712140000006,162
WP_020334503.1,20.681344840000012,191
WP_020334502.1,28.02974204000002,245
WP_020334501.1,15.89024334000002,144
WP_020334500.1,136.62289644000097,1233
WP_014233099.1,36.84527153999998,347
WP_020334499.1,33.67335074000002,299
WP_014233097.1,18.778798840000018,162
WP_020334498.1,21.02097344000001,189
WP_014233095.1,55.35724973999991,489
WP_020334497.1,144.28492414000087,1292
WP_020334496.1,30.36268314000002,273
WP_020334495.1,51.43895753999984,481
WP_014233091.1,51.60878253999989,458
WP_014233090.1,109.86418054000043,969
WP_024372854.1,45.42000293999991,421
WP_020334493.1,29.19746223999999,250
WP_020334492.1,34.96091653999998,320
WP_014233086.1,20.54955054,175
WP_020334491.1,48.3340185399999,447
WP_014233084.1,48.874089239999876,451
WP_014233083.1,9.900236440000006,91
WP_014233082.1,32.48530664,287
WP_014233081.1,16.558053440000005,148
WP_014233080.1,11.05350384,95
WP_020334488.1,55.17198723999993,490
WP_014233078.1,26.76972294000001,241
WP_014233077.1,17.96627274000001,164
WP_020334487.1,20.964851840000023,187
WP_014233075.1,34.32470643999999,323
WP_014233074.1,33.69014774,321
WP_014233073.1,29.325724639999997,267
WP_014233072.1,27.926108039999985,263
WP_014233071.1,17.395796140000012,162
WP_020334486.1,24.244045539999995,212
WP_014233069.1,12.009750140000007,106
WP_014233068.1,9.620071240000003,84
WP_020334485.1,44.59029513999996,421
WP_014233066.1,26.94361574000001,241
WP_014233065.1,13.81377484000001,129
WP_014233064.1,17.44813614000002,153
WP_020334484.1,34.376978439999995,309
WP_020334483.1,37.270554239999974,334
WP_020334482.1,45.71894643999991,407
WP_014233060.1,15.785966439999994,138
WP_020334481.1,30.501455240000006,266
WP_020334479.1,14.847406940000015,134
WP_020334478.1,108.54802144000043,952
WP_014233055.1,17.233524240000012,149
WP_020334476.1,54.54752453999991,502
WP_020334475.1,40.67779613999996,366
WP_014233052.1,39.42642243999995,356
WP_014233051.1,17.424657740000015,159
WP_020334474.1,46.96247533999997,422
WP_020334473.1,24.112324939999997,221
WP_014233048.1,32.65849524000002,312
WP_020334472.1,24.75152684,224
WP_020334471.1,47.92839063999988,417
WP_020334007.1,58.42552584000007,541
WP_020334006.1,43.74065933999994,380
WP_014233043.1,10.616179040000006,90
WP_020334005.1,40.814846539999934,358
WP_014233041.1,27.43132354,239
WP_020334004.1,37.94963533999998,342
WP_014233039.1,32.88601123999999,306
WP_024372823.1,44.64056243999996,391
WP_014233038.1,21.789533140000007,200
WP_020334002.1,16.187565840000012,143
WP_014233036.1,10.629444640000006,96
WP_014233035.1,20.663948740000006,185
WP_020334000.1,29.137591240000003,272
WP_020333999.1,26.443692839999997,237
