tr|A0A1B1EFC9|A0A1B1EFC9_VIBNA	EC:2.1.1.13
tr|A0A1B1EHG4|A0A1B1EHG4_VIBNA	EC:3.6.4.9
tr|A0A1B1EK80|A0A1B1EK80_VIBNA	EC:2.7.1.73
tr|A0A1B1EKM0|A0A1B1EKM0_VIBNA	EC:1.1.5.12
tr|A0A1B1EA83|A0A1B1EA83_VIBNA	EC:3.1.3.82
tr|A0A1B1EAA0|A0A1B1EAA0_VIBNA	EC:5.4.99.21
tr|A0A1B1EB94|A0A1B1EB94_VIBNA	EC:1.10.3.14
tr|A0A1B1EBD4|A0A1B1EBD4_VIBNA	EC:2.7.1.73
tr|A0A1B1EF47|A0A1B1EF47_VIBNA	EC:2.3.1.n4
tr|A0A1B1EH95|A0A1B1EH95_VIBNA	EC:2.7.1.208
tr|A0A1B1EHY9|A0A1B1EHY9_VIBNA	EC:1.1.1.73
tr|A0A1B1EJU5|A0A1B1EJU5_VIBNA	EC:1.1.1.387
tr|A0A1B1ELW5|A0A1B1ELW5_VIBNA	EC:2.6.1.107
tr|A0A1B1E874|A0A1B1E874_VIBNA	EC:2.6.1.66
tr|A0A1B1E8W2|A0A1B1E8W2_VIBNA	EC:2.5.1.57
tr|A0A1B1E8Y8|A0A1B1E8Y8_VIBNA	EC:3.2.1.184
tr|A0A1B1E9M6|A0A1B1E9M6_VIBNA	EC:1.4.7.1
tr|A0A1B1EA30|A0A1B1EA30_VIBNA	EC:3.4.13.20
tr|A0A1B1EA82|A0A1B1EA82_VIBNA	EC:3.2.2.10
tr|A0A1B1EA99|A0A1B1EA99_VIBNA	EC:1.4.7.1
tr|A0A1B1EAW7|A0A1B1EAW7_VIBNA	EC:2.6.1.113
tr|A0A1B1EB67|A0A1B1EB67_VIBNA	EC:3.1.2.23
tr|A0A1B1EB74|A0A1B1EB74_VIBNA	EC:1.10.3.14
tr|A0A1B1EBJ1|A0A1B1EBJ1_VIBNA	EC:5.4.99.19
tr|A0A1B1EBQ8|A0A1B1EBQ8_VIBNA	EC:1.8.5.7
tr|A0A1B1EC80|A0A1B1EC80_VIBNA	EC:2.6.1.112
tr|A0A1B1ED85|A0A1B1ED85_VIBNA	EC:3.1.3.97
tr|A0A1B1EDU4|A0A1B1EDU4_VIBNA	EC:1.8.5.7
tr|A0A1B1EFF9|A0A1B1EFF9_VIBNA	EC:2.3.1.17
tr|A0A1B1EG00|A0A1B1EG00_VIBNA	EC:1.5.1.30
tr|A0A1B1EG65|A0A1B1EG65_VIBNA	EC:4.1.1.104
tr|A0A1B1EH79|A0A1B1EH79_VIBNA	EC:3.5.4.44
tr|A0A1B1EH91|A0A1B1EH91_VIBNA	EC:3.5.1.125
tr|A0A1B1EHH8|A0A1B1EHH8_VIBNA	EC:1.6.5.7
tr|A0A1B1EIJ5|A0A1B1EIJ5_VIBNA	EC:1.3.1.n3
tr|A0A1B1EIW9|A0A1B1EIW9_VIBNA	EC:1.2.98.1
tr|A0A1B1EJ03|A0A1B1EJ03_VIBNA	EC:1.2.1.97
tr|A0A1B1EJ39|A0A1B1EJ39_VIBNA	EC:2.6.1.48
tr|A0A1B1EJE8|A0A1B1EJE8_VIBNA	EC:2.6.1.22
tr|A0A1B1EK10|A0A1B1EK10_VIBNA	EC:1.3.99.12
tr|A0A1B1EKA6|A0A1B1EKA6_VIBNA	EC:1.1.98.6
tr|A0A1B1EKL1|A0A1B1EKL1_VIBNA	EC:4.1.2.49
tr|A0A1B1EKW0|A0A1B1EKW0_VIBNA	EC:1.7.1.15
tr|A0A1B1EL48|A0A1B1EL48_VIBNA	EC:1.3.99.12
tr|A0A1B1EL85|A0A1B1EL85_VIBNA	EC:1.7.1.15
tr|A0A1B1EL99|A0A1B1EL99_VIBNA	EC:4.1.1.104
