ORF GenomeID    FID TransporterFamily   TransporterSubfamily    Substrate   AutoAnnotation  IsCurated

PN96_RS07510	vn10844		vn10844	AAE		539	aspartate:alanine antiporter		2.A.81		X
PN96_RS00500	vn10844		vn10844	ABC	binding	572	daunorubicin		3.A.1		X
PN96_RS00525	vn10844		vn10844	ABC	binding	574	glycine betaine		3.A.1		X
PN96_RS00530	vn10844		vn10844	ABC	membrane	575	toluene tolerance		3.A.1		X
PN96_RS00535	vn10844		vn10844	ABC	binding protein	576	toluene tolerance		3.A.1		X
PN96_RS00540	vn10844		vn10844	ABC	binding	577	toluene tolerance		3.A.1		X
PN96_RS00855	vn10844		vn10844	ABC	binding	1054	phosphonate		3.A.1		X
PN96_RS01400	vn10844		vn10844	ABC	binding	581	daunorubicin		3.A.1		X
PN96_RS01405	vn10844		vn10844	ABC	membrane	1515	polysaccharide export		3.A.1		X
PN96_RS01495	vn10844		vn10844	ABC	binding	583	2-aminoethylphosphonate		3.A.1		X
PN96_RS01500	vn10844		vn10844	ABC	membrane	584	iron(III)		3.A.1		X
PN96_RS01505	vn10844		vn10844	ABC	binding	585	polyamine		3.A.1		X
PN96_RS01535	vn10844		vn10844	ABC	binding	586	phosphate		3.A.1		X
PN96_RS01540	vn10844		vn10844	ABC	binding	587	glycine betaine		3.A.1		X
PN96_RS01545	vn10844		vn10844	ABC	membrane	588	dipeptide/oligopeptide		3.A.1		X
PN96_RS01550	vn10844		vn10844	ABC	membrane	589	dipeptide/oligopeptide		3.A.1		X
PN96_RS01555	vn10844		vn10844	ABC	binding protein	590	dipeptide/oligopeptide		3.A.1		X
PN96_RS01880	vn10844		vn10844	ABC	binding	1057	heme		3.A.1		X
PN96_RS02770	vn10844		vn10844	ABC	binding	599	heme		3.A.1		X
PN96_RS02775	vn10844		vn10844	ABC	membrane	600	heme export		3.A.1		X
PN96_RS02780	vn10844		vn10844	ABC	membrane	1447	heme export		3.A.1		X
PN96_RS02945	vn10844		vn10844	ABC	binding protein	604	dipeptide/oligopeptide		3.A.1		X
PN96_RS03135	vn10844		vn10844	ABC	binding	605	phosphate		3.A.1		X
PN96_RS03140	vn10844		vn10844	ABC	membrane	606	amino aicd (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS03145	vn10844		vn10844	ABC	binding protein	607	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS03160	vn10844		vn10844	ABC	binding	608	phosphonate		3.A.1		X
PN96_RS03165	vn10844		vn10844	ABC	membrane	609	cobalamin/Fe3+-siderophores		3.A.1		X
PN96_RS03170	vn10844		vn10844	ABC	membrane	610	cobalamin/Fe3+-siderophores		3.A.1		X
PN96_RS03180	vn10844		vn10844	ABC	binding	611	iron-hydroxamate		3.A.1		X
PN96_RS03375	vn10844		vn10844	ABC	binding protein	612	oligopeptide		3.A.1		X
PN96_RS03380	vn10844		vn10844	ABC	membrane	613	dipeptide/oligopeptide		3.A.1		X
PN96_RS03385	vn10844		vn10844	ABC	membrane	614	dipeptide/oligopeptide		3.A.1		X
PN96_RS03390	vn10844		vn10844	ABC	binding	615	glycine betaine		3.A.1		X
PN96_RS03395	vn10844		vn10844	ABC	binding	616	glycine betaine		3.A.1		X
PN96_RS03430	vn10844		vn10844	ABC	membrane	618	unknown substrate		3.A.1		X
PN96_RS03435	vn10844		vn10844	ABC	binding	619	phosphonate		3.A.1		X
PN96_RS03695	vn10844		vn10844	ABC	binding protein	621	dipeptide/oligopeptide		3.A.1		X
PN96_RS03765	vn10844		vn10844	ABC	binding	181	phosphonates		3.A.1		X
PN96_RS04740	vn10844		vn10844	ABC	binding	624	phosphonates		3.A.1		X
PN96_RS05010	vn10844		vn10844	ABC	binding protein	626	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS05015	vn10844		vn10844	ABC	membrane	627	amino acid		3.A.1		X
PN96_RS05020	vn10844		vn10844	ABC	membrane	628	amino aicd (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS05025	vn10844		vn10844	ABC	binding	629	phosphate		3.A.1		X
PN96_RS05280	vn10844		vn10844	ABC	binding	631	glycine betaine		3.A.1		X
PN96_RS05285	vn10844		vn10844	ABC	membrane	632	glycine betaine/L-proline		3.A.1		X
PN96_RS05290	vn10844		vn10844	ABC	binding	633	glycine betaine		3.A.1		X
PN96_RS05315	vn10844		vn10844	ABC	membrane	634	multidrug		3.A.1		X
PN96_RS05320	vn10844		vn10844	ABC	membrane	635	multidrug		3.A.1		X
PN96_RS05575	vn10844		vn10844	ABC	binding	638	phosphate		3.A.1		X
PN96_RS05580	vn10844		vn10844	ABC	membrane	639	amino aicd (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS05585	vn10844		vn10844	ABC	membrane	640	amino acid		3.A.1		X
PN96_RS05590	vn10844		vn10844	ABC	binding protein	641	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS05645	vn10844		vn10844	ABC	binding	642	lipid A		3.A.1		X
PN96_RS05705	vn10844		vn10844	ABC	binding	643	heme		3.A.1		X
PN96_RS05880	vn10844		vn10844	ABC	binding	644	polyamine		3.A.1		X
PN96_RS05885	vn10844		vn10844	ABC	membrane	645	spermidine/putrescine		3.A.1		X
PN96_RS05890	vn10844		vn10844	ABC	membrane	646	spermidine/putrescine		3.A.1		X
PN96_RS05895	vn10844		vn10844	ABC	binding protein	647	spermidine/putrescine		3.A.1		X
PN96_RS05900	vn10844		vn10844	ABC	binding protein	648	spermidine/putrescine		3.A.1		X
PN96_RS05980	vn10844		vn10844	ABC	binding	649	heme		3.A.1		X
PN96_RS06000	vn10844		vn10844	ABC	membrane	651	tungsten		3.A.1		X
PN96_RS06005	vn10844		vn10844	ABC	binding	652	heme		3.A.1		X
PN96_RS06190	vn10844		vn10844	ABC	membrane	654	multidrug	*	3.A.1		X
PN96_RS06195	vn10844		vn10844	ABC	binding	655	lipid A		3.A.1		X
PN96_RS06285	vn10844		vn10844	ABC	binding	656	sulfate		3.A.1		X
PN96_RS06290	vn10844		vn10844	ABC	binding	657	daunorubicin		3.A.1		X
PN96_RS06295	vn10844		vn10844	ABC	membrane	658	branched-chain amino acid		3.A.1		X
PN96_RS06300	vn10844		vn10844	ABC	membrane	659	branched-chain amino acid		3.A.1		X
PN96_RS06305	vn10844		vn10844	ABC	binding	660	urea		3.A.1		X
PN96_RS06650	vn10844		vn10844	ABC	binding	662	xylose		3.A.1		X
PN96_RS06655	vn10844		vn10844	ABC	membrane	663	sugar (ribose)		3.A.1		X
PN96_RS06660	vn10844		vn10844	ABC	membrane	664	sugar (ribose)		3.A.1		X
PN96_RS06665	vn10844		vn10844	ABC	ABC	665	sugar (ribose)		3.A.1		X
PN96_RS06790	vn10844		vn10844	ABC	binding	666	iron-hydroxamate		3.A.1		X
PN96_RS06795	vn10844		vn10844	ABC	membrane	667	cobalamin/Fe3+-siderophores		3.A.1		X
PN96_RS06800	vn10844		vn10844	ABC	binding	668	phosphonate		3.A.1		X
PN96_RS06890	vn10844		vn10844	ABC	binding	669	molybdate		3.A.1		X
PN96_RS06895	vn10844		vn10844	ABC	membrane	670	Vitamin B12		3.A.1		X
PN96_RS07430	vn10844		vn10844	ABC	binding	672	lipid A		3.A.1		X
PN96_RS07435	vn10844		vn10844	ABC	binding	673	lipid A		3.A.1		X
PN96_RS07540	vn10844		vn10844	ABC	membrane	674	efflux (antimicrobial peptide)		3.A.1		X
PN96_RS07545	vn10844		vn10844	ABC	binding	675	lipoprotein		3.A.1		X
PN96_RS07650	vn10844		vn10844	ABC	binding protein	676	spermidine/putrescine		3.A.1		X
PN96_RS07655	vn10844		vn10844	ABC	membrane	677	unknown substrate		3.A.1		X
PN96_RS07660	vn10844		vn10844	ABC	binding	678	sulfate		3.A.1		X
PN96_RS07755	vn10844		vn10844	ABC	binding protein	680	dipeptide/oligopeptide		3.A.1		X
PN96_RS07760	vn10844		vn10844	ABC	membrane	681	antimicrobial peptide uptake		3.A.1		X
PN96_RS07765	vn10844		vn10844	ABC	membrane	682	antimicrobial peptide uptake		3.A.1		X
PN96_RS07770	vn10844		vn10844	ABC	binding	683	phosphonate		3.A.1		X
PN96_RS07775	vn10844		vn10844	ABC	binding	684	glycine betaine		3.A.1		X
PN96_RS07815	vn10844		vn10844	ABC	membrane	685	unknown substrate		3.A.1		X
PN96_RS08530	vn10844		vn10844	ABC	membrane	687	amino acid (lysine/arginine/ornithine/histidine/octopine)		3.A.1		X
PN96_RS08535	vn10844		vn10844	ABC	membrane	688	amino acid (lysine/arginine/ornithine/histidine/octopine)		3.A.1		X
PN96_RS08540	vn10844		vn10844	ABC	binding protein	689	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS08545	vn10844		vn10844	ABC	binding	690	phosphate		3.A.1		X
PN96_RS08615	vn10844		vn10844	ABC	binding	691	lipid A		3.A.1		X
PN96_RS08630	vn10844		vn10844	ABC	membrane	692	lipoprotein releasing		3.A.1		X
PN96_RS08635	vn10844		vn10844	ABC	binding	693	lipoprotein		3.A.1		X
PN96_RS08640	vn10844		vn10844	ABC	membrane	694	lipoprotein releasing		3.A.1		X
PN96_RS08720	vn10844		vn10844	ABC	binding	1392	glycine betaine		3.A.1		X
PN96_RS08755	vn10844		vn10844	ABC	membrane	696	spermidine/putrescine		3.A.1		X
PN96_RS08760	vn10844		vn10844	ABC	membrane	697	spermidine/putrescine		3.A.1		X
PN96_RS08765	vn10844		vn10844	ABC	binding	698	polyamine		3.A.1		X
PN96_RS08770	vn10844		vn10844	ABC	binding protein	699	spermidine/putrescine		3.A.1		X
PN96_RS09130	vn10844		vn10844	ABC	binding	701	polyamine		3.A.1		X
PN96_RS09135	vn10844		vn10844	ABC	membrane	702	sugar		3.A.1		X
PN96_RS09140	vn10844		vn10844	ABC	membrane	703	sugar		3.A.1		X
PN96_RS09145	vn10844		vn10844	ABC	binding protein	704	sugar		3.A.1		X
PN96_RS09365	vn10844		vn10844	ABC	binding	705	zinc		3.A.1		X
PN96_RS09370	vn10844		vn10844	ABC	binding	706	daunorubicin		3.A.1		X
PN96_RS09375	vn10844		vn10844	ABC	membrane	707	manganese/zinc ion		3.A.1		X
PN96_RS10120	vn10844		vn10844	ABC	binding	709	D-methionine		3.A.1		X
PN96_RS10125	vn10844		vn10844	ABC	membrane	710	D-methionine		3.A.1		X
PN96_RS10130	vn10844		vn10844	ABC	binding	711	methionine		3.A.1		X
PN96_RS10575	vn10844		vn10844	ABC	binding	316	glycine betaine		3.A.1		X
PN96_RS10760	vn10844		vn10844	ABC	binding	716	phosphate		3.A.1		X
PN96_RS10765	vn10844		vn10844	ABC	membrane	717	phosphate		3.A.1		X
